"pays","nom pap","auteur","titre","editeur","type","editeur trad"
"ALBANIE","FAN NOLI","DEBRAY RÉGIS","Dieu, un itinéraire","Odile Jacob","Sciences Sociales et Humaines","Ora Editions"
"ALBANIE","FAN NOLI","DELERM PHILIPPE","La Première Gorgée de bière et autres plaisirs miniscules","Gallimard","Lettres","Ombra GVG"
"ALBANIE","FAN NOLI","DOLTO FRANÇOISE","Lorsque l’enfant paraît","Le Seuil","Sciences Sociales et Humaines","Kthim në Vetvete"
"ALBANIE","FAN NOLI","DOLTO FRANÇOISE","Paroles pour adolescents","Hatier","Sciences Sociales et Humaines","Fan Noli"
"ALBANIE","FAN NOLI","DURAS MARGUERITE","L’Amant","Minuit","Lettres","Dituria"
"ALBANIE","FAN NOLI","DURAS MARGUERITE","Dix Heures et demie du soir en été","Gallimard","Lettres","Dituria"
"ALBANIE","FAN NOLI","GENET JEAN","Journal du voleur","Gallimard","Lettres","Apollonia"
"ALBANIE","FAN NOLI","GIL ROGER","Neuropsychologie","Masson","Sciences et Techniques","Dituria"
"ALBANIE","FAN NOLI","GIONO JEAN","Regain","Grasset","Lettres","Albin"
"ALBANIE","FAN NOLI","GIONO JEAN","Un de Baumugnes","Grasset","Lettres","Globus"
"ALBANIE","FAN NOLI","GRACQ JULIEN","Au château d’Argol","José Corti","Lettres","Globus"
"ALBANIE","FAN NOLI","KOKONA VEDAT","Anthologie bilingue de poésie française","","Lettres","Toena"
"ALBANIE","FAN NOLI","KOKONA VEDAT","Dictionnaire albanais-français","","Lettres","Toena"
"ALBANIE","FAN NOLI","KUNDERA MILAN","La Plaisanterie","Gallimard","Lettres","Dituria"
"ALBANIE","FAN NOLI","LE CLÉZIO J.-M. G.","Étoile errante","Gallimard","Lettres","Albin"
"ALBANIE","FAN NOLI","LE CLÉZIO J.-M. G.","La Ronde et autres récits (extraits)","Gallimard","Lettres","Dituria"
"ALBANIE","FAN NOLI","MASPERO FRANÇOIS","Balkans Transit","Le Seuil","Lettres","Toena"
"ALBANIE","FAN NOLI","MAURIAC FRANÇOIS","Le Nœud de vipères","Grasset","Lettres","Dituria"
"ALBANIE","FAN NOLI","MESSIAEN OLIVIER","Technique de mon langage musical","Alphonse Leduc","Arts","ASMUS"
"ALBANIE","FAN NOLI","MICHAUX HENRI","Sélection de textes poétiques","Gallimard","Lettres","Odeon Publishers"
"ALBANIE","FAN NOLI","MODIANO PATRICK","Dimanches d’août","Gallimard","Lettres","Globus R"
"ALBANIE","FAN NOLI","NATTIEZ JEAN-JACQUES","Musicologie générale et Sémiologie","Bourgois","Arts","Académie des arts"
"ALBANIE","FAN NOLI","NOËL BERNARD","Matisse","Auteur","Lettres","Lilo"
"ALBANIE","FAN NOLI","NOURISSIER FRANÇOIS","En avant, calme et droit","Grasset","Lettres","Medaur"
"ALBANIE","FAN NOLI","PENDANX MICHÈLE","Les Activités d’apprentissage en classe de langue","Hachette","Sciences et Techniques","Shb Logos"
"ALBANIE","FAN NOLI","PENNAC DANIEL","Messieurs les enfants","Gallimard","Lettres","Besa"
"ALBANIE","FAN NOLI","PIEYRE DE MANDIARGUES ANDRÉ","Le Lis de mer","Gallimard","Lettres","Dituria"
"ALBANIE","FAN NOLI","RADIGUET RAYMOND","Le Diable au corps","","Lettres","Albin"
"ALBANIE","FAN NOLI","RICHET XAVIER","L’Économie de l’entreprise","Hachette","Sciences Sociales et Humaines","Toena"
"ALBANIE","FAN NOLI","SAINT-EXUPÉRY ANTOINE (DE)","Terre des hommes","Gallimard","Lettres","Albin"
"ALBANIE","FAN NOLI","SAINT-JOHN PERSE","Choix de poèmes","Gallimard","Lettres","Aferdita"
"ALBANIE","FAN NOLI","SARRAUTE NATHALIE","Le Planétarium","Gallimard","Lettres","Elena Gjika"
"ALBANIE","FAN NOLI","SARTRE JEAN-PAUL","Huis clos","Gallimard","Lettres","Fan Noli"
"ALBANIE","FAN NOLI","SARTRE JEAN-PAUL","Qu’est-ce que la littérature ?","Gallimard","Lettres","Dea"
"ALBANIE","FAN NOLI","SHIJAKU EQREM","Dictionnaire phraséologique français-albanais","","Lettres","Dituria"
"ALBANIE","FAN NOLI","TOURNIER MICHEL","Le Médianoche amoureux","Gallimard","Lettres","Dituria"
"ALBANIE","FAN NOLI","TOURNIER MICHEL","Vendredi ou la Vie sauvage","Gallimard","Lettres","Fan Noli"
"ALBANIE","FAN NOLI","VALÉRY PAUL","Monsieur Teste","Gallimard","Lettres","Odeon Publishers"
"ALBANIE","FAN NOLI","XENAKIS IANNIS","Kéleütha et autres écrits","L’Arche","Arts","Shtepia Botuese Enciklopedike"
"ALBANIE","FAN NOLI","YOURCENAR MARGUERITE","Anna, Soror…","Gallimard","Lettres","MCM"
"ALBANIE","FAN NOLI","YOURCENAR MARGUERITE","Les Mémoires d’Hadrien","Gallimard","Lettres","MCM"
"ALBANIE","FAN NOLI","YOURCENAR MARGUERITE","Nouvelles orientales","Gallimard","Lettres","Dituria"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Algérie 1830-1962","Revue des deux mondes","Sciences Sociales et Humaines","Dahlab"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Algérie : quelles perspectives ?","Recherches internationales","Sciences Sociales et Humaines","Marinoor"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Analyse prévisionnelle","Atol","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Dictionnaire du français en 60 000 mots","Hachette","Lettres","Enap"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Dictionnaire Hachette Junior","Hachette","Jeunesse","Casbah"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Évaluation des entreprises","Atol","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","ACCOCE PIERRE & RENTCHNICK PIERRE","Ces malades qui nous gouvernent","Stock","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","ADDA JACQUES","La Mondialisation de l’économie","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","AGERON CHARLES-ROBERT","Histoire de l’Algérie contemporaine","PUF","Sciences Sociales et Humaines","Dahlab"
"ALGÉRIE","MOHAMMED DIB","AMAR NADINE, COUVREUR CATHERINE & HANUS MICHEL","Le Deuil","PUF","Sciences Sociales et Humaines","SARP"
"ALGÉRIE","MOHAMMED DIB","AMIN HUSSEIN","Le Livre du musulman désemparé","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","AMMI KEBIR","Thagaste","L’Aube","Lettres","Marsa"
"ALGÉRIE","MOHAMMED DIB","ARNSPERGER CHRISTIAN & VAN PARIJS PHILIPPE","Éthique économique et sociale","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","ASSIMA FÉRIEL","Rhoulem, ou le sexe des anges","Arléa","Lettres","Marsa"
"ALGÉRIE","MOHAMMED DIB","AUBERT FRANÇOIS & GUITTARD PHILIPPE","L’Essentiel médical de poche","Ellipses","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","AUBERT NICOLE","Diriger et Motiver","Éd d’Organisation","Sciences et Techniques","Chihab"
"ALGÉRIE","MOHAMMED DIB","AUDIGIER GUY","Marketing et actions commerciales","EJA","Sciences et Techniques","Casbah"
"ALGÉRIE","MOHAMMED DIB","AUJARD YANNICK, BOURILLON ANTOINE & GAUDELUS JOËL","Pédiatrie","Ellipses","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","AVRIL JEAN-LOUP, DABERNAT HENRY, DENIS FRANÇOIS & MONTEIL HENRI","Bactériologie clinique","Ellipses","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","BANOUN ÉRIC","Aide-Mémoire d’urgences médicales","Ellipses","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","BARUK HENRI","L’Hypnose","PUF","Sciences et Techniques","Dahlab"
"ALGÉRIE","MOHAMMED DIB","BAYOT DOMINIQUE","Schémas de consultation en gynécologie","Ellipses","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","BEAUD MICHEL","L’Art de la thèse","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","BÉNAC HENRI","Dictionnaire de synonymes","Hachette","Lettres","Casbah"
"ALGÉRIE","MOHAMMED DIB","BÉNAC HENRI & BURNEY PIERRE","Guide de conjugaison","Hachette","Lettres","Casbah"
"ALGÉRIE","MOHAMMED DIB","BENHAMOU FRANÇOISE","L’Économie de la culture","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","BENMALEK ANOUAR","Les Amants désunis","Calmann-Lévy","Lettres","Marsa"
"ALGÉRIE","MOHAMMED DIB","BERGERET JEAN","Toxicomanie et Personnalité","PUF","Sciences Sociales et Humaines","Dahlab"
"ALGÉRIE","MOHAMMED DIB","BERQUE JACQUES","Musiques sur le fleuve","Albin Michel","Lettres","Dahlab"
"ALGÉRIE","MOHAMMED DIB","BERTHÉLÉMY JEAN-CLAUDE","L’Endettement du tiers monde","PUF","Sciences Sociales et Humaines","Afaq"
"ALGÉRIE","MOHAMMED DIB","BETTATI MARIO","Le Nouvel Ordre économique international","PUF","Sciences Sociales et Humaines","Dahlab"
"ALGÉRIE","MOHAMMED DIB","BLANQUET PAUL & BLANC DANIEL","La Médecine nucléaire","PUF","Sciences et Techniques","Dahlab"
"ALGÉRIE","MOHAMMED DIB","BLASSELLE BRUNO","La Bibliothèque nationale","PUF","Sciences Sociales et Humaines","Dahlab"
"ALGÉRIE","MOHAMMED DIB","BLED ÉDOUARD","Cours d’orthographe élémentaire","Hachette","Lettres","Casbah"
"ALGÉRIE","MOHAMMED DIB","BLED ÉDOUARD & BLED ODETTE","Cours d’orthographe, cours élémentaire, cours moyen","Hachette","Lettres","Casbah"
"ALGÉRIE","MOHAMMED DIB","BLED ÉDOUARD, BLED ODETTE & BÉNAC HENRI","Guide d’orthographe","Hachette","Lettres","Casbah"
"ALGÉRIE","MOHAMMED DIB","BOIA LUCIAN","La Fin du monde","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","BONNECHÈRE MICHÈLE","Introduction au droit","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","BONNET GÉRARD","Le Remords","PUF","Sciences Sociales et Humaines","SARP"
"ALGÉRIE","MOHAMMED DIB","BONNET HENRI & BERTHET DOMINIQUE","Les Institutions financières internationales","PUF","Sciences Sociales et Humaines","Bouchène"
"ALGÉRIE","MOHAMMED DIB","BOUGNOUX DANIEL","Introduction aux sciences de la communication","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","BOUQUIN HENRI","La Comptabilité de gestion","PUF","Sciences et Techniques","Afaq"
"ALGÉRIE","MOHAMMED DIB","BOURDE CHRISTIAN","Les Maladies de la circulation sanguine","PUF","Sciences et Techniques","Dahlab"
"ALGÉRIE","MOHAMMED DIB","BOURDIEU PIERRE","Sociologie de l’Algérie","PUF","Sciences Sociales et Humaines","Dahlab"
"ALGÉRIE","MOHAMMED DIB","BOYER ANDRÉ, HYRIGOYEN GÉRARD & THEPOT JACQUES","Panorama de la gestion","Éd d’Organisation","Sciences et Techniques","Chihab"
"ALGÉRIE","MOHAMMED DIB","BRAUD PHILIPPE","Sociologie politique","EJA","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","BRETON PHILIPPE","L’Argumentation dans la communication","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","BRETON PHILIPPE","Le Culte de l’internet","La Découverte","Sciences et Techniques","Casbah"
"ALGÉRIE","MOHAMMED DIB","BRETON PHILIPPE","L’Utopie de la communication","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","BRETON PHILIPPE & PROULX SERGE","L’Explosion de la communication","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","BRETON PIERRE-HUBERT & SCHOR ARMAND-DENIS","La Dévaluation","PUF","Sciences Sociales et Humaines","Bouchène"
"ALGÉRIE","MOHAMMED DIB","BRETON ROLAND","Géographie des civilisations","PUF","Sciences Sociales et Humaines","Dahlab"
"ALGÉRIE","MOHAMMED DIB","BUCAILLE MAURICE","La Bible, le Coran et la Science","Robert Laffont","Sciences Sociales et Humaines","Maison des livres"
"ALGÉRIE","MOHAMMED DIB","BURLAUD ALAIN & SIMON CLAUDE","Le Contrôle de gestion","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","CACOUAULT MARLAINE & ŒUVRARD FRANÇOISE","Sociologie de l’éducation","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","CAGLAR HUGUETTE","La Psychologie scolaire","PUF","Sciences Sociales et Humaines","Afaq"
"ALGÉRIE","MOHAMMED DIB","CALLON MICHEL & COURTIAL JEAN-PIERRE","La Scientométrie","PUF","Sciences et Techniques","Dahlab"
"ALGÉRIE","MOHAMMED DIB","CALVET LOUIS-JEAN","La Sociolinguistique","PUF","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","CAMPELL ROBERT","La Trigonométrie","PUF","Sciences et Techniques","Dahlab"
"ALGÉRIE","MOHAMMED DIB","CASSEYRE JEAN-PIERRE & GAILLARD CATHERINE","Les Bibliothèques universitaires","PUF","Sciences Sociales et Humaines","Dahlab"
"ALGÉRIE","MOHAMMED DIB","CATHALA HENRI-PIERRE","Explorations fonctionnelles du système nerveux","Ellipses","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","CHARBY JACQUES","Les Porteurs d’espoir","La Découverte","Sciences Sociales et Humaines","Chihab"
"ALGÉRIE","MOHAMMED DIB","CHAREF ABED","Au nom du fils","L’Aube","Lettres","Marsa"
"ALGÉRIE","MOHAMMED DIB","CHARFI MOHAMED","Islam et Liberté. Le malentendu historique","Albin Michel","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","CHASSARD-BOUCHAUD COLETTE","Environnement et Radioactivité","PUF","Sciences et Techniques","Dahlab"
"ALGÉRIE","MOHAMMED DIB","CHAST MICHEL","Les Douleurs","Albin Michel","Sciences et Techniques","Dahlab"
"ALGÉRIE","MOHAMMED DIB","CHÉDID ANDRÉE","L’Étrange Mariée","Le Sorbier","Jeunesse","Enap"
"ALGÉRIE","MOHAMMED DIB","CHESNOT CHRISTIAN, MALBRUNOT GEORGES & MAJID SAMAN ABDUL","Les Années Saddam","Fayard","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","CHEVALLIER DOMINIQUE & MIQUEL ANDRÉ","Les Arabes. Du message à l’histoire","Fayard","Sciences Sociales et Humaines","Marinoor"
"ALGÉRIE","MOHAMMED DIB","COCHOY FRANCK","Une histoire du marketing","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","COHEN ÉLIE","Dictionnaire de gestion","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","COMBESSIE JEAN-CLAUDE","La Méthode en sociologie","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","CORDELLIER SERGE","La Mondialisation au-delà des mythes","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","CORDELLIER SERGE","Le Nouvel état du monde","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","CORM GEORGES","Le Proche-Orient éclaté II","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","COUSOT PATRICK","Algorithmique et programmation Pascal","Ellipses","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","CROCHEMORE JEAN","Menuiserie de la maison","Eyrolles","Sciences et Techniques","Chihab"
"ALGÉRIE","MOHAMMED DIB","CUCHE DENYS","La Notion de culture dans les sciences sociales","La Découverte/Syros","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","CULLMAN HENRI","Comptabilité analytique","PUF","Sciences et Techniques","Bouchène"
"ALGÉRIE","MOHAMMED DIB","DAHMANI AHMED","L’Algérie à l’épreuve","L’Harmattan","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","DAYAN ARMAND","Le Marketing","PUF","Sciences et Techniques","Dahlab"
"ALGÉRIE","MOHAMMED DIB","DEHEUVELS LUC-WILLY","Islam et pensée contemporaine en Algérie. La revue Al-Asâla","CNRS","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","DELANNOY CLAUDE","Exercices de Turbo Pascal. Maîtrisez DBSE IV","Eyrolles","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","DELEFOSSE JEAN & VENIEN JACQUES","Gros-Œuvre (tomes II et III)","Eyrolles","Sciences et Techniques","Chihab"
"ALGÉRIE","MOHAMMED DIB","DELFAUD PIERRE","Les Théories économiques","PUF","Sciences Sociales et Humaines","Bouchène"
"ALGÉRIE","MOHAMMED DIB","DELOYE YVES","La Sociologie historique du politique","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","DELSOL ROBERT","Techniques numériques","Cépaduès","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","DELUZURIEUX ALAIN & RAMI MICHEL","Problèmes d’électronique","Eyrolles","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","DELUZURIEUX ALAIN & RAMI MICHEL","Problèmes d’électronique avec leurs solutions","Eyrolles","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","DENIS PAUL & SCHAEFFER JACQUELINE","Sectes","PUF","Sciences Sociales et Humaines","SARP"
"ALGÉRIE","MOHAMMED DIB","DEUTSCH GEORGES","Chauffage central","Eyrolles","Sciences et Techniques","Chihab"
"ALGÉRIE","MOHAMMED DIB","DIB MOHAMED","Le Coeur insulaire","La Différence","Lettres","Marsa"
"ALGÉRIE","MOHAMMED DIB","DIB MOHAMED","La Grande Maison","Le Seuil","Lettres","Dahlab"
"ALGÉRIE","MOHAMMED DIB","DIB MOHAMED","L’Incendie","Le Seuil","Lettres","Dahlab"
"ALGÉRIE","MOHAMMED DIB","DIB MOHAMED","Le Métier à tisser","Le Seuil","Lettres","Dahlab"
"ALGÉRIE","MOHAMMED DIB","DORNIER ROGER","De l’analyse financière à l’expertise financière","Eyrolles","Sciences et Techniques","Chihab"
"ALGÉRIE","MOHAMMED DIB","DREUX GEORGES & FESTA JEAN","Le Nouveau Guide du béton","Eyrolles","Sciences et Techniques","Chihab"
"ALGÉRIE","MOHAMMED DIB","DUBOIS JEAN-PIERRE","La Responsabilité administrative","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","DUCHET JEAN-LOUIS","La Phonologie","PUF","Sciences Sociales et Humaines","Afaq"
"ALGÉRIE","MOHAMMED DIB","DUCLOS DENIS & MEYNAUD HÉLÈNE","Les Sondages d’opinion","La Découverte/Syros","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","DUFOUR ARNAUD","Internet","PUF","Sciences et Techniques","Dahlab"
"ALGÉRIE","MOHAMMED DIB","DURAND DE BOUSINGEN ROBERT","La Relaxation","PUF","Sciences et Techniques","Dahlab"
"ALGÉRIE","MOHAMMED DIB","EINAUDI JEAN-LUC","La Bataille de Paris","Le Seuil","Sciences Sociales et Humaines","Média-Plus"
"ALGÉRIE","MOHAMMED DIB","ESCARPIT ROBERT","L’Écrit et la Communication","PUF","Sciences Sociales et Humaines","Bouchène"
"ALGÉRIE","MOHAMMED DIB","ESCARPIT ROBERT","Sociologie de la littérature","PUF","Sciences Sociales et Humaines","Dahlab"
"ALGÉRIE","MOHAMMED DIB","ESTIVALS ROBERT","La Bibliologie","PUF","Sciences Sociales et Humaines","Dahlab"
"ALGÉRIE","MOHAMMED DIB","EVENO PATRICK & PLANCHAIS JEAN","La Guerre d’Algérie","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","FARRENY HENRI","Systèmes experts","Cépaduès","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","FELLAG","Djurdjurassique bled","J.-C. Lattès","Lettres","Casbah"
"ALGÉRIE","MOHAMMED DIB","FLICHY PATRICE","Une histoire de la communication moderne","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","FORAY DOMINIQUE","L’Économie et la Connaissance","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","FORREST CHANTAL","J’étais un enfant à Babylone","Le Sorbier","Jeunesse","Enap"
"ALGÉRIE","MOHAMMED DIB","FOUGEREAU MICHEL","L’Immunologie","PUF","Sciences et Techniques","Dahlab"
"ALGÉRIE","MOHAMMED DIB","FOURASTIÉ JEAN & KOVACS ANDRÉ","La Comptabilité","PUF","Sciences et Techniques","Afaq"
"ALGÉRIE","MOHAMMED DIB","FOURNIOUX LIONEL","Super utilisateur MS Dos","Ellipses","Sciences et Techniques","Berti"
"ALGÉRIE","MOHAMMED DIB","GACEMI BAYA","Moi, Nadia, femme d’un émir du GIA","Le Seuil","Lettres","L’Époque"
"ALGÉRIE","MOHAMMED DIB","GALISSOT RENÉ","Les Accords d’Évian en conjoncture et en longue durée","Karthala","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","GERRIEN BERNARD","Dictionnaire d’analyse économique","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","GHALIOUN BURHAN","Islam et Politique. La modernité trahie","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","GHEZALI SALIMA","Les Amants de Shahrazade","L’Aube","Lettres","Marsa"
"ALGÉRIE","MOHAMMED DIB","GIRAUD CLAUDE","Histoire de la sociologie","PUF","Sciences Sociales et Humaines","Afaq"
"ALGÉRIE","MOHAMMED DIB","GRESH ALAIN & VIDAL DOMINIQUE","Les 100 portes du Proche-Orient","Éd. de l’Atelier","Sciences Sociales et Humaines","Dahlab"
"ALGÉRIE","MOHAMMED DIB","GRIFFITHS STÉPHANE","Exercices de gestion financière","Eyrolles","Sciences et Techniques","Chihab"
"ALGÉRIE","MOHAMMED DIB","GRIFFITHS STÉPHANE","Gestion financière","Eyrolles","Sciences et Techniques","Chihab"
"ALGÉRIE","MOHAMMED DIB","GUILLAUME MADELEINE, FIEVET-IZARD MADELEINE & TYMOWSKI JEAN-CLAUDE","L’Acupuncture","PUF","Sciences et Techniques","Dahlab"
"ALGÉRIE","MOHAMMED DIB","GUILLOU JEAN-MARC","Plomberie","Eyrolles","Sciences et Techniques","Chihab"
"ALGÉRIE","MOHAMMED DIB","HAMON ALBERT","Guide de grammaire","Hachette","Lettres","Chihab"
"ALGÉRIE","MOHAMMED DIB","HANNON CLAUDE","La Grippe et ses virus","PUF","Sciences et Techniques","Dahlab"
"ALGÉRIE","MOHAMMED DIB","HARBI MOHAMED","Une vie debout","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","HARBI MOHAMED & STORA BENJAMIN","La Guerre d’Algérie : la fin de l’amnésie","Robert Laffont","Sciences Sociales et Humaines","Chihab"
"ALGÉRIE","MOHAMMED DIB","HAYOUN MAURICE-RUBEN & LIBERA ALAIN (DE)","Averroès et l’averroïsme","PUF","Sciences Sociales et Humaines","Dahlab"
"ALGÉRIE","MOHAMMED DIB","HERMAN JACQUES","Les Langages de la sociologie","PUF","Sciences Sociales et Humaines","Afaq"
"ALGÉRIE","MOHAMMED DIB","HERNERT PATRICE","Les Algorithmes","PUF","Sciences et Techniques","Dahlab"
"ALGÉRIE","MOHAMMED DIB","HEUDE RÉMY-PIERRE","Publicité. 101 questions réponses","Eyrolles","Sciences et Techniques","Chihab"
"ALGÉRIE","MOHAMMED DIB","HUAULT ISABELLE","Le Management international","La Découverte","Sciences Sociales et Humaines","Casbah"
"ALGÉRIE","MOHAMMED DIB","HUTEAU MICHEL & LAUTREY JACQUES","Les Tests d’intelligence","La Découverte","Sciences Sociales et Humaines","Casbah"
