"pays","nom pap","auteur","titre","editeur","type","editeur trad"
"AFRIQUE DU SUD","SINCLAIR BEILES","COLLECTIF","Picador Book of African Stories","Divers","Lettres","Stephen Gray"
"AFRIQUE DU SUD","SINCLAIR BEILES","QUIGNARD PASCAL","Tous les matins du monde","Gallimard","Lettres","Protea Boekhuis"
"ALBANIE","FAN NOLI","COLLECTIF","Dictionnaire de la philosophie","Larousse","Philosophie","Shtepia Botuese Enciklopedike"
"ALBANIE","FAN NOLI","ADLER LAURE","Marguerite Duras","Gallimard","Lettres","Albin"
"ALBANIE","FAN NOLI","ALLÈGRE CLAUDE","Introduction à une histoire naturelle","Fayard","Sciences Sociales et Humaines","Dituria"
"ALBANIE","FAN NOLI","AYMÉ MARCEL","La Jument verte","Gallimard","Lettres","Albin"
"ALBANIE","FAN NOLI","AYMÉ MARCEL","Le Passe-Muraille","Gallimard","Lettres","Dituria"
"ALBANIE","FAN NOLI","BATAILLE GEORGES","L’Érotisme","Minuit","Lettres","Shtepia E Librit Dhe E Komunikimit"
"ALBANIE","FAN NOLI","BEAUVOIR SIMONE (DE)","L’Âge de discrétion","Gallimard","Lettres","Elena Gjika"
"ALBANIE","FAN NOLI","BEAUVOIR SIMONE (DE)","La Femme rompue","Gallimard","Lettres","Elena Gjika"
"ALBANIE","FAN NOLI","BEAUVOIR SIMONE (DE)","Monologue","Gallimard","Lettres","Elena Gjika"
"ALBANIE","FAN NOLI","BECKETT SAMUEL","En attendant Godot","Minuit","Lettres","MCM"
"ALBANIE","FAN NOLI","BECKETT SAMUEL","Oh les beaux jours","Minuit","Lettres","MCM"
"ALBANIE","FAN NOLI","BEN JELLOUN TAHAR","L’Enfant de sable","Le Seuil","Lettres","Elena Gjika"
"ALBANIE","FAN NOLI","BERGSON HENRI","Les Deux Sources de la morale et de la religion","PUF","Philosophie","Amfioni dhe Zeti"
"ALBANIE","FAN NOLI","BERNHEIM EMMANUÈLE","Sa femme","Gallimard","Lettres","Dituria"
"ALBANIE","FAN NOLI","BOSQUET ALAIN","Demain sans moi","Gallimard","Lettres","Toena"
"ALBANIE","FAN NOLI","BOSQUET ALAIN","Le Livre du doute et de la grâce","Gallimard","Lettres","Toena"
"ALBANIE","FAN NOLI","CABANES PIERRE","Passions albanaises, de Berisha au Kosovo","Odile Jacob","Sciences Sociales et Humaines","Onufri"
"ALBANIE","FAN NOLI","CAMUS ALBERT","La Chute","Gallimard","Lettres","Naim Frasheri"
"ALBANIE","FAN NOLI","CAMUS ALBERT","Le Mythe de Sisyphe","Gallimard","Lettres","Fan Noli"
"ALBANIE","FAN NOLI","CHAILLEY JACQUES","40000 Ans de musique","L’Harmattan","Arts","ISCM"
"ALBANIE","FAN NOLI","CHAMPSEIX ÉLISABETH & CHAMPSEIX JEAN-PAUL","L’Albanie ou la Logique du désespoir","La Découverte","Sciences Sociales et Humaines","Elena Gjika"
"ALBANIE","FAN NOLI","CORNEILLE PIERRE","Horace","","Lettres","Toena"
"ALBANIE","FAN NOLI","CUIN CHARLES-HENRY & GRESLE FRANÇOIS","Histoire de la sociologie","La Découverte","Sciences Sociales et Humaines","Shpiragu"
