Bénéficiaire,Département,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve
BAZOCHES-EN-DUNOIS,28,"Le renforcement du réseau d'eau potable, rue des Ecoles",63077,10000,de MONTGOLFIER Albéric,Sénat
BAZOCHES-LES-HAUTES,28,"L'enfouissement des réseaux électriques, rues Saint-Martin et Demi-Lune",82050,10000,VIGIER Philippe,Assemblée nationale
BAZOCHES-SUR-VESLE,2,La réfection du mur du cimetière,9194,2200,VASSEUR Isabelle,Assemblée nationale
BAZOGES-EN-PAILLERS,85,L'aménagement de la place du Canal,100942,15000,DARNICHE Philippe,Sénat
BAZOILLES-ET-MENIL,88,La réfection du mur du cimetière,11841,3000,GAULTIER Jean-Jacques,Assemblée nationale
BAZOILLES-SUR-MEUSE,88,La réhabilitation de l'ancienne école en logements locatifs,182700,7500,PIERRE Jackie,Sénat
BAZOLLES,58,L'isolation de la salle communale,19186,7000,CARRERE Jean-Louis,Sénat
BAZONCOURT,57,"L'aménagement paysager du lotissement ""La Corvée aux Noyers""",4827,1500,MASSON Jean-Louis,Sénat
BAZORDAN,65,"La réfection du plancher de l'église, la construction d'un local de rangement, l'aménagement d'un bar au foyer rural et l'embellissement de la place communale",15043,2000,FORGUES Pierre,Assemblée nationale
BAZORDAN,65,L'aménagement d'un local pour l'extension du foyer rural,6556,3000,FORTASSIN François,Sénat
BAZOUGES-SUR-LE-LOIR,72,L'aménagement du square du Port Mahon,22666,11333,PAVY-MORANCAIS Béatrice,Assemblée nationale
BEARD-GEOVREISSIAT,1,La construction d'un restaurant scolaire,522657,10000,de la VERPILLIERE Charles,Assemblée nationale
BEAUCAIRE-SUR-BAISE,32,L'assainissement collectif du bourg,645994,20000,-,Réserve ministérielle
BEAUCAMPS-LE-VIEUX,80,L'acquisition de matériel informatique dans les écoles maternelle et élémentaire,30000,15000,DENEUX Marcel,Sénat
BEAUCOURT,90,L'acquisition d'un local aux Fonteneilles,20000,10000,-,Réserve ministérielle
BEAUCOUZE,49,La construction du centre aquatique intercommunal de Beaucouzé,6880947,5000,PLACE Jean-Vincent,Sénat
BEAUFORT,39,L'aménagement de la place du Souvenir,299915,20000,PELISSARD Jacques,Assemblée nationale
BEAUFORT,59,"L'aménagement d'un trottoir, rue d'Hautmont (CD 155)",24055,2000,PERAT Jean-Luc,Assemblée nationale
BEAUFOUR-DRUVAL,14,La réfection de la cour de l'ancienne école de Saint-Aubin-Lébizay,5765,2000,DUPONT Jean-Léonce,Sénat
BEAUGAS,47,La réhabilitation du logement communal n° 1,14117,7000,CAHUZAC Jérôme,Assemblée nationale
BEAUGENCY,45,La construction d'un local dédié à l'escalade au complexe des Hauts de Lutz,170000,15000,CARRE Olivier,Assemblée nationale
BEAUGIES-SOUS-BOIS,60,L'amélioration de l'éclairage public,9959,3150,MARINI Philippe,Sénat
BEAUJEU,69,L'aménagement d'un parking dans le secteur du pont Paradis,64000,30000,ACCOYER Bernard,Assemblée nationale
BEAULENCOURT,62,La réfection de l'école,253985,6000,MAQUET Jacqueline,Assemblée nationale
BEAULIEU,58,La réhabilitation du presbytère en logements locatifs,183660,1000,PAUL Christian,Assemblée nationale
BEAULIEU,36,La restauration des charpentes et de la toiture de l'église Saint-Nicolas,357659,6844,MAYET Jean-François,Sénat
BEAULIEU,7,L'aménagement de la Place de l'Eglise,140000,13000,RAOUL Daniel,Sénat
BEAULIEU-LES-LOCHES,37,"La réhabilitation du logement situé 14, rue Saint-André",59143,9000,TOURAINE Marisol,Assemblée nationale
BEAULIEU-SOUS-LA-ROCHE,85,La construction d'une mairie,716691,15000,CAILLAUD Dominique,Assemblée nationale
BEAULIEU-SUR-SONNETTE,16,"La construction d'un mur de soutènement, chemin de l'Eglise",11141,5000,SUEUR Jean-Pierre,Sénat
BEAUMARCHES,32,L'aménagement de sanitaires publics attenants à la salle des fêtes et accessibles aux personnes handicapées,95900,5000,VALL Raymond,Sénat
BEAUMAT,46,"La restauration de la sacristie de l'église ""Notre Dame de la Nativité""",14122,2500,REQUIER Jean-Claude,Sénat
BEAUMENIL,88,"L'aménagement des voies communales n°1, 5 et 7",93779,7000,CHERPION Gérard,Assemblée nationale
BEAUMERIE-SAINT-MARTIN,62,L'aménagement de bâtiments communaux (programme 2012),87134,2000,FASQUELLE Daniel,Assemblée nationale
BEAUMESNIL,27,La réfection du chauffage de l'église,14589,2500,MORIN Hervé,Assemblée nationale
BEAUMESNIL,14,La rénovation de l'ancienne école,109587,15000,GARREC René,Sénat
BEAUMONT,7,La réfection partielle de la toiture de l'église,34897,8000,FLORY Jean-Claude,Assemblée nationale
BEAUMONT,63,Le réaménagement et l'extension du parc de l'Hôtel de Ville,670500,30000,GISCARD d'ESTAING Louis,Assemblée nationale
BEAUMONT,54,L'aménagement d'un terrain de quilles,3003,300,-,Réserve ministérielle
BEAUMONT,19,L'implantation d'une réserve incendie dans le bourg de Beaumont,30000,7300,LE MENN Jacky,Sénat
BEAUMONT,63,L'extension et la réhabilitation de l'Hôtel de Ville (second oeuvre),544337,10000,MARC François,Sénat
BEAUMONT,7,"La construction des logements sociaux ""Les Bogues du Blat"" (1ère tranche)",513369,15000,RAOUL Daniel,Sénat
BEAUMONT-DU-GATINAIS,77,L'aménagement de la nouvelle mairie,72957,26450,JULIA Didier,Assemblée nationale
BEAUMONTEL,27,La mise aux normes de l'électricité de l'église,13725,3000,MAUREY Hervé,Sénat
BEAUMONT-EN-AUGE,14,La réfection du bâtiment mairie,319079,8000,AMELINE Nicole,Assemblée nationale
BEAUMONT-EN-AUGE,14,La restauration du clocher de l'église Saint-Sauveur,690144,12000,DUPONT Ambroise,Sénat
BEAUMONT-LES-AUTELS,28,La réhabilitation des menuiseries des écoles,10861,3500,ACCOYER Bernard,Assemblée nationale
BEAUMONT-PIED-DE-BOEUF,72,La valorisation de la zone humide de l'Ire,29830,14915,PAVY-MORANCAIS Béatrice,Assemblée nationale
BEAUMONT-SARDOLLES,58,L'aménagement de sanitaires accessibles aux handicapés à la salle des fêtes,17624,1000,CARRILLON-COUVREUR Martine,Assemblée nationale
BEAUMONT-SUR-OISE,95,La réfection de l'hôtel de ville,1249000,43000,ASSOULINE David,Sénat
BEAUMONT-VILLAGE,37,"La rénovation du logement communal situé 6, rue de la Mairie",20145,9000,TOURAINE Marisol,Assemblée nationale
BEAUMOTTE-LES-PIN,70,Réalisation de divers travaux au cimetière,6784,2000,JOYANDET Alain,Assemblée nationale
BEAUNE-LA-ROLANDE,45,L'aménagement du Mail Est,545542,16000,SUEUR Jean-Pierre,Sénat
BEAUPREAU,49,L'aménagement de l'entrée et du mur du parc communal,122275,7000,PLACE Jean-Vincent,Sénat
BEAUPUY,47,La réhabilitation et la mise aux normes de la salle des sports,63492,18600,DIEFENBACHER Michel,Assemblée nationale
BEAUQUAY,14,L'aménagement de la RD 8 en traversée du bourg (2ème tranche),90374,9000,COUSIN Jean-Yves,Assemblée nationale
BEAURAINS,62,L'aménagement d'un terrain d'évolution sportive Hat-Trick en gazon synthétique,180357,5000,MAQUET Jacqueline,Assemblée nationale
BEAUREGARD-BARET,26,La construction d'un local technique,152100,45000,HERVIAUX Odette,Sénat
BEAUREGARD-L'EVEQUE,63,"La réfection de chemins, suite aux dégâts causés par les orages de fin mai 2012",25544,10000,REINER Daniel,Sénat
BEAUREGARD-VENDON,63,L'extension du restaurant scolaire et la restructuration de l'office de maintien en température,43742,20000,ASSOULINE David,Sénat
BEAUREPAIRE-EN-BRESSE,71,La rénovation de la salle des fêtes,59829,10000,BEAUMONT René,Sénat
BEAUREVOIR,2,La réfection de la façade de la mairie et l'aménagement d'une rampe d'accès,45245,7000,BERTRAND Xavier,Assemblée nationale
BEAUSEMBLANT,26,La réfection de la toiture de l'ancienne école,42822,2000,THORAVAL Marie-Hélène,Assemblée nationale
BEAUSITE,55,L'aménagement d'un logement dans le bâtiment de la mairie annexe d'Amblaincourt,86138,8910,-,Réserve ministérielle
BEAUVAIN,61,L'aménagement de la chaufferie et des sanitaires de la mairie,62100,7000,-,Réserve ministérielle
BEAUVAIS,60,L'acquisition de parcelles supplémentaires dans le cadre de l'extension des jardins familiaux du site des Champs Dolent,88951,42600,CAYEUX Caroline,Sénat
BEAUVAIS,60,L'acquisition de décors lumineux pour les fééries de Noël 2012,14980,7400,CAYEUX Caroline,Sénat
BEAUVAL,80,La construction d'un groupe scolaire (tranches ferme et conditionnelle),4418249,15000,DUBOIS Daniel,Sénat
BEAUVILLE,47,La restructuration du bureau de poste,148417,10000,TANDONNET Henri,Sénat
BEAUVILLIERS,28,"L'aménagement du parvis, la restauration de la toiture de l'entrée et la réfection partielle de la façade sud de l'église",42168,10000,VIGIER Philippe,Assemblée nationale
BEAUVOIR,60,L'acquisition d'une tente de réception,5160,2500,DASSAULT Olivier,Assemblée nationale
BEAUVOIS-EN-VERMANDOIS,2,La réfection du mur de clôture de l'église,19796,5700,BERTRAND Xavier,Assemblée nationale
BEAUX,43,L'acquisition de matériel de déneigement,14000,7000,ROCHE Gérard,Sénat
BEAUZAC,43,La rénovation et l'extension de l'école,616000,25000,PRORIOL Jean,Assemblée nationale
BEC-DE-MORTAGNE,76,La construction d'une salle polyvalente,709677,15000,FIDELIN Daniel,Assemblée nationale
BEC-DE-MORTAGNE,76,L'installation d'une clôture et d'un portail à la salle polyvalente,19175,7200,REVET Charles,Sénat
BECHAMPS,54,L'aménagement d'une salle socio-culturelle dans la grange communale située Grande rue,37619,3500,HUSSON Jean-François,Sénat
BECHY,57,La construction d'un parking aux abords du cimetière,35085,14034,ZIMMERMANN Marie-Jo,Assemblée nationale
BECHY,57,La construction d'un auvent devant le foyer socio-éducatif,40000,5000,ZIMMERMANN Marie-Jo,Assemblée nationale
BECHY,57,La restauration de la base du beffroi des cloches de l'église,10735,3000,GROSDIDIER François,Sénat
BECHY,57,L'édification d'un columbarium,19200,3000,LE MENN Jacky,Sénat
BECOURT,62,"La réfection de voies communales et l'aménagement de parkings, places de Bécourt et de l'Eglise",46784,10000,LE MENN Jacky,Sénat
BEGAAR,40,L'aménagement d'une zone sécuritaire aux abords du groupe scolaire,184717,10000,-,Réserve ministérielle
BEGLES,33,L'aménagement d'un verger partagé au parc de Mussonville,9924,4950,MAMERE Noël,Assemblée nationale
BEGLES,33,L'acquisition de matériel informatique pour le service de développement économique,3099,1500,MAMERE Noël,Assemblée nationale
BEGLES,33,L'acquisition d'un véhicule utilitaire,15000,7000,MAMERE Noël,Assemblée nationale
BEGLES,33,L'acquisition de matériel pour les chantiers éducatifs du service jeunesse,10326,5000,MAMERE Noël,Assemblée nationale
BEGROLLES-EN-MAUGES,49,La mise en sécurité du carrefour de la Croix de Pierre,184850,15000,DE CHARETTE Hervé,Assemblée nationale
BEHAGNIES,62,La réfection des locaux de l'école-mairie,22167,10000,JEANNEROT Claude,Sénat
BEHENCOURT,80,Le réaménagement de la mairie et de sa salle de réunion,184828,3000,GEST Alain,Assemblée nationale
BEHONNE,55,La restauration de la façade de l'église,8631,2000,PANCHER Bertrand,Assemblée nationale
BEIGNON,56,L'aménagement d'une aire multi-sports entre la garderie périscolaire et l'école publique,41493,15000,BOUVARD Loïc,Assemblée nationale
BELBERAUD,31,"La construction d'une salle polyvalente, d'une médiathèque et de salles associatives",1400700,50000,PLANCADE Jean-Pierre,Sénat
BELBEUF,76,La construction d'ateliers municipaux,666576,20000,GUEGOT Françoise,Assemblée nationale
BELESTA,66,"La réfection des réseaux d'électricité, d'éclairage public et de communications de la place de l'Eglise, des rues du Château et du Porche",9751,2000,BOURQUIN Christian,Sénat
BELFAYS,25,L'aménagement de places de stationnement le long de la route principale,6057,2000,HUMBERT Jean-François,Sénat
BELFONDS,61,La restauration de l'église de Cléray,155578,20000,DENIAUD Yves,Assemblée nationale
BELFORT,90,La restauration des galeries d'accès à la cour d'Honneur du Musée d'Histoire,58528,2000,CHEVENEMENT Jean-Pierre,Sénat
BELGEARD,53,La construction d'un parc multisports,53846,10000,FAVENNEC Yannick,Assemblée nationale
BELIGNEUX,1,L'acquisition de défibrillateurs cardiaques,3800,1900,GOY-CHAVENT Sylvie,Sénat
BELLANGE,57,La mise en accessibilité du cimetière et de l'église,4595,2200,LE MENN Jacky,Sénat
BELLANGE,57,La réfection du chemin des Dormades,10830,2110,MASSON Jean-Louis,Sénat
BELLAVILLIERS,61,L'installation d'une écobox pour le busage des fossés à ciel ouvert dangereux,12284,5000,-,Réserve ministérielle
BELLEFOND,21,L'aménagement de l'espace public situé au coeur du village (2ème tranche),196500,30000,DEPIERRE Bernard,Assemblée nationale
BELLEFONTAINE,39,L'extension du local des sapeurs-pompiers,81814,7000,BAILLY Gérard,Sénat
BELLEFOSSE,67,"L'aménagement d'un ascenseur  à la ferme auberge ""au Ban de la Roche""",25293,3000,KELLER Fabienne,Sénat
BELLEGARDE,30,L'aménagement paysager et ludique d'une parcelle située au sein de la ZAC des Ferrières,20629,10000,CARTRON Françoise,Sénat
BELLEGARDE-EN-FOREZ,42,L'aménagement des abords de la nouvelle mairie,39600,10000,CUKIERMAN Cécile,Sénat
BELLEGARDE-POUSSIEU,38,La restauration de statues,5638,1500,SAUGEY Bernard,Sénat
BELLEGARDE-SAINTE-MARIE,31,La restauration de la toiture de l'église,29114,8734,PLANCADE Jean-Pierre,Sénat
BELLEGARDE-SUR-VALSERINE,1,La restauration de l'église Notre-Dame-de-L'Assomption,32853,11000,BLANC Etienne,Assemblée nationale
BELLEGARDE-SUR-VALSERINE,1,"La restauration de la bannière historique ""Fanfare de Bellegarde-Coupy""",13370,6600,BLANC Etienne,Assemblée nationale
BELLEGARDE-SUR-VALSERINE,1,L'acquisition d'un défibrillateur cardiaque,1345,672,GOY-CHAVENT Sylvie,Sénat
BELLENEUVE,21,"La construction d'un plateau sportif, d'une aire de jeux et d'un parking et l'aménagement des abords",127855,30000,DELATTE Rémi,Assemblée nationale
BELLENGREVILLE,76,La réfection de la route de Saint-Sulpice,55838,4000,HUREL Sandrine,Assemblée nationale
BELLESERRE,81,L'optimisation du réseau de communications électroniques (Phases 1 et 2),12556,3110,REINER Daniel,Sénat
BELLES-FORETS,57,"La régulation et l'amélioration de l'éclairage public, rue du Château d'eau à Angviller",7218,2500,LE MENN Jacky,Sénat
BELLES-FORETS,57,La pose de stores rigides extérieurs à l'école élémentaire,3810,1905,MASSON Jean-Louis,Sénat
BELLESSERRE,31,L'extension et l'aménagement de la mairie,100006,2000,IMBERT Françoise,Assemblée nationale
BELLEVILLE,54,La restauration des fresques de l'église,6405,3000,LE DEAUT Jean-Yves,Assemblée nationale
BELLEY,1,L'acquisition de défibrillateurs semi-automatiques pour les équipements sportifs,6710,2804,GOY-CHAVENT Sylvie,Sénat
BELLEYDOUX,1,L'acquisition d'un défibrillateur cardiaque,1544,772,GOY-CHAVENT Sylvie,Sénat
BELLOU-EN-HOULME,61,L'aménagement et la sécurisation du bourg et la mise en accessibilité de la mairie,142299,7000,BASSOT Sylvia,Assemblée nationale
BELLOY-EN-FRANCE,95,L'acquisition de mobilier pour le nouveau bâtiment du restaurant scolaire et les locaux périscolaires,14912,7450,PONIATOWSKI Axel,Assemblée nationale
BELLOY-SUR-SOMME,80,L'acquisition de matériel informatique pour l'école,4512,2030,DENEUX Marcel,Sénat
BELVEZET,48,L'aménagement d'un local buvette,47850,23925,SAINT-LEGER Francis,Assemblée nationale
BELZ,56,La réfection de la voirie (programme 2012),126451,18000,GRALL Michel,Assemblée nationale
BEMECOURT,27,"L'aménagement de l'éclairage public au lieu-dit ""Le Château""",1003,330,PONIATOWSKI Ladislas,Sénat
BENAIS,37,La réfection de la rue Pontarin,32721,15000,MARC François,Sénat
BENAY,2,Le réaménagement du bassin de la Busière,7000,3500,BERTRAND Xavier,Assemblée nationale
BENNEY,54,La construction d'un centre culturel multi-activités,668963,40000,-,Réserve ministérielle
BENNWIHR,68,La construction d'un club house et la réfection de l'éclairage des courts de tennis,119527,10000,CHRIST Jean-Louis,Assemblée nationale
BENNWIHR,68,La clôture de l'ancien étang de pêche,24435,10000,TROENDLE Catherine,Sénat
BENOISTVILLE,50,L'aménagement d'une allée dans le cimetière,19182,5000,GATIGNOL Claude,Assemblée nationale
BENQUET,40,L'extension de l'école communale,330200,10000,CARRERE Jean-Louis,Sénat
BENY,1,"L'aménagement de la bibliothèque dans une ancienne salle de classe, l'achat de mobilier, de matériels et logiciels informatiques",15044,7200,REINER Daniel,Sénat
BERBIGUIERES,24,La reconstruction de la station d'épuration du bourg,104245,4000,RAOUL Daniel,Sénat
BERCENAY-EN-OTHE,10,La restauration de l'église Saint-Antoine,536600,12000,MATHIS Jean-Claude,Assemblée nationale
BERCHE,25,La restructuration et la mise en accessibilité de la mairie,204000,10000,HERVIAUX Odette,Sénat
BERCHERES-SUR-VESGRE,28,La restauration de l'église Saint-Rémi (tranches 1 et 2),115434,30000,HAMEL Gérard,Assemblée nationale
BERCLOUX,17,La construction d'un atelier et d'une salle communale,137548,40000,-,Réserve ministérielle
BERENGEVILLE-LA-CAMPAGNE,27,"L'installation de panneaux lumineux indicateurs de vitesse, route de Louviers (RD 61)",8480,3390,BOURDIN Joël,Sénat
BEREZIAT,1,La mise en sécurité de l'entrée sud du village,47000,8000,REINER Daniel,Sénat
BERGBIETEN,67,La mise aux normes d'accessibilité de l'église,3987,1900,REICHARDT André,Sénat
BERGERES,10,La construction d'un local technique,21684,2500,ADNOT Philippe,Sénat
BERLANCOURT,60,La réhabilitation des sanitaires et de la cuisine de la salle communale,14170,4000,MARINI Philippe,Sénat
BERMERIES,59,L'acquisition d'un défibrillateur cardiaque automatique et d'une armoire externe,1800,900,TÜRK Alex,Sénat
BERMESNIL,80,L'installation d'un poste de télégestion pour les pompes de relevage de l'assainissement collectif,2980,1490,BIGNON Jérôme,Assemblée nationale
BERMONVILLE,76,L'aménagement d'une mare tampon en amont d'une bétoire,93450,20000,FIDELIN Daniel,Assemblée nationale
BERNAC-DESSUS,65,L'enfouissement des réseaux de la dernière portion de la rue de l'Alaric,18766,4500,REINER Daniel,Sénat
BERNARDVILLE,67,La réfection des chemins d'Andlau et du Liesbühl,276100,19000,HERTH Antoine,Assemblée nationale
BERNAVILLE,80,La construction d'une salle multi-activités et l'aménagement des abords,984882,50000,-,Réserve ministérielle
BERNAY,27,L'aménagement de la place Gustave Héon,1017300,100000,-,Réserve ministérielle
BERNE,56,L'aménagement de la voirie et des réseaux au lotissement Ihuel,73295,15000,LE NAY Jacques,Assemblée nationale
BERNECOURT,54,"La 1ère phase des travaux d'assainissement collectif du village, l'élimination des eaux claires parasites et l'amélioration du taux de collecte",235000,35000,-,Réserve ministérielle
BERNIENVILLE,27,"Le renforcement et l'enfouissement du réseau de distribution électrique et d'éclairage public, rue René Vallée et chemin de la Haute forte",32441,4000,NICOLAS Jean-Pierre,Assemblée nationale
BERNIENVILLE,27,"La réfection de l'éclairage public, chemin de la Haute Porte",2916,1457,PONIATOWSKI Ladislas,Sénat
BERNIENVILLE,27,L'acquisition et l'installation d'un abri bus au hameau Pithienville,12301,2000,ZOCCHETTO François,Sénat
BERNIERES-SUR-SEINE,27,"Travaux d'éclairage public, rue du Chêne Laurent",2262,1000,PONIATOWSKI Ladislas,Sénat
BERNIN,38,La construction d'une crèche,1325281,5000,FIORASO Geneviève,Assemblée nationale
BERNIS,30,La réhabilitation d'un hangar industriel en salle polyvalente,282259,10000,MOURRUT Etienne,Assemblée nationale
BERNIS,30,L'aménagement des abords du boulevard Charles Mourier,9499,4749,MICHEL Jean-Pierre,Sénat
BERNON,10,La réfection de la cour de l'école,2155,800,MATHIS Jean-Claude,Assemblée nationale
BERNON,10,La fourniture et la pose d'une chaudière à gaz dans le logement situé au dessus de la mairie,3217,500,ADNOT Philippe,Sénat
BERNOUVILLE,27,"La distribution d'éclairage public au lieu-dit ""Les Hauts Bouleaux""",1308,650,PONIATOWSKI Ladislas,Sénat
BERRAC,32,La réhabilitation de la salle des fêtes et de la mairie,40000,15000,-,Réserve ministérielle
BERRAC,32,La mise aux normes de sécurité et d'accessibilité de la mairie et de la salle des fêtes,126784,5000,VALL Raymond,Sénat
BERRE-LES-ALPES,6,"La construction d'un parking, rue Caire Del Prat",210800,20000,GUIBAL Jean-Claude,Assemblée nationale
BERRE-L'ETANG,13,L'acquisition et l'installation de clôtures et de filets de protection pour le stade de Gordes,50090,10770,CARTRON Françoise,Sénat
BERRE-L'ETANG,13,La réfection des chemins communaux de la Gavounière et des Ferrages,92413,19869,CARTRON Françoise,Sénat
BERRE-L'ETANG,13,L'installation de systèmes de climatisation dans divers bâtiments communaux,137739,29614,CARTRON Françoise,Sénat
BERRE-L'ETANG,13,La réfection des trottoirs du boulevard Henri Wallon,147340,31679,CARTRON Françoise,Sénat
BERRE-L'ETANG,13,La mise en conformité de l'office de l'école maternelle Joliot Curie,45604,9805,CARTRON Françoise,Sénat
BERRWILLER,68,L'extension et la réhabilitation de la salle des sports,984300,30000,SORDI Michel,Assemblée nationale
BERRWILLER,68,La construction d'un bâtiment d'accueil périscolaire,733383,30000,BOCKEL Jean-Marie,Sénat
BERSILLIES,59,L'acquisition d'un support mural pour le défibrillateur cardiaque automatique,500,250,TÜRK Alex,Sénat
BERSTHEIM,67,L'aménagement extérieur et la mise en accessibilité de l'église Saint-Martin,54142,3000,KELLER Fabienne,Sénat
BERTANGLES,80,La restauration de l'église,133779,13500,MARTIN Pierre,Sénat
BERTHOLENE,12,"La rénovation des sanitaires, la réfection de la cuisine et le remplacement du chauffage à la salle d'animation communale",55063,20000,CENSI Yves,Assemblée nationale
BERTHOUVILLE,27,La pose d'une stèle au cimetière dans le cadre de l'aménagement d'un jardin du souvenir,1396,690,NICOLAS Jean-Pierre,Assemblée nationale
BERTIGNAT,63,Le remplacement du chauffage de l'église,38360,4000,CHASSAIGNE André,Assemblée nationale
BERTRANGE,57,La réfection des sols du rez-de-chaussée de l'école élémentaire Saint-Rémy,9107,3000,MARC François,Sénat
BERTREVILLE,76,La réhabilitation et la mise en accessibilité de la mairie,122290,10000,ACCOYER Bernard,Assemblée nationale
BERTRIMOUTIER,88,"L'acquisition d'un véhicule de type ""Ford Ranger""",12320,5000,CHERPION Gérard,Assemblée nationale
BERTRY,59,"L'extension, la réhabilitation et la mise en accessibilité de la mairie",710129,5000,VILLAIN François-Xavier,Assemblée nationale
BERULLE,10,L'aménagement d'une salle socioculturelle,37643,4000,ADNOT Philippe,Sénat
BERVILLE-LA-CAMPAGNE,27,La réfection du pignon et de l'électricité à l'église,31688,3000,MAUREY Hervé,Sénat
BERVILLER-EN-MOSELLE,57,L'acquisition d'une tondeuse autoportée,4315,2000,MASSON Jean-Louis,Sénat
BESAYES,26,La construction d'un restaurant scolaire et d'une école élémentaire,1469700,4000,THORAVAL Marie-Hélène,Assemblée nationale
BESIGNAN,26,"La rénovation de la façade de la mairie, l'acquisition d'une table cadastrale et l'installation de stores occultants",23565,4800,REINER Daniel,Sénat
BESNE,44,L'aménagement d'un giratoire au jardin du Pont Neuf,175000,30000,PRIOU Christophe,Assemblée nationale
BESNE,44,L'acquisition de corbeilles de tri sélectif et d'un injecteur-extracteur à vapeur,6755,2000,PLACE Jean-Vincent,Sénat
BESNE,44,La restauration des cloches de l'église Saint-Friard,3746,1873,TRILLARD André,Sénat
BESNY-ET-LOIZY,2,L'électrification du hameau du Verger Ebouleau,16195,5000,LEFEVRE Antoine,Sénat
BESSAC,16,La construction d'une salle socioculturelle (2ème tranche),144720,5000,SUEUR Jean-Pierre,Sénat
BESSAN,34,La rénovation des courts de tennis,113069,35000,D'ETTORE Gilles,Assemblée nationale
BESSAY,85,La construction d'une école,479600,15000,CAILLAUD Dominique,Assemblée nationale
BESSE,24,La réfection de la toiture des dépendances du logement de la mairie et l'aménagement des abords,12718,5000,PEIRO Germinal,Assemblée nationale
BESSENAY,69,La construction d'un bassin d'orage,722000,15000,VERCHERE Patrice,Assemblée nationale
BESSENAY,69,"L'extension et la mise aux normes du multi-accueil ""Les Griottes""",220000,15000,DINI Muguette,Sénat
BESSE-SUR-BRAYE,72,L'acquisition d'un mobil-home accessible aux personnes à mobilité réduite,20829,10000,PAVY-MORANCAIS Béatrice,Assemblée nationale
BESSE-SUR-BRAYE,72,La restauration d'un pigeonnier,30227,15113,PAVY-MORANCAIS Béatrice,Assemblée nationale
BESSEY-LES-CITEAUX,21,L'acquisition de matériel informatique pour les écoles et la mairie,18809,8000,DARCIAUX Claude,Assemblée nationale
BESSEY-LES-CITEAUX,21,La construction d'un groupement scolaire (1ère et 2ème tranches),501000,10000,-,Réserve ministérielle
BESSINES,79,L'équipement informatique de l'école primaire,4438,1000,BATHO Delphine,Assemblée nationale
BETBEZER-D'ARMAGNAC,40,La construction d'auvents en extension de la couverture du foyer rural,29500,4000,VIDALIES Alain,Assemblée nationale
BETHENY,51,L'aménagement d'un bâtiment communal en vue d'y accueillir le musée de la Base Aérienne 112,74850,8000,DETRAIGNE Yves,Sénat
BETHINCOURT,55,La mise en accessibilité de la mairie et de la salle multi-activités des Bûchettes,13160,1948,DUMONT Jean-Louis,Assemblée nationale
BETHISY-SAINT-MARTIN,60,Le remplacement de fenêtres au logement communal situé rue Pasteur,10171,5000,DEGAUCHY Lucien,Assemblée nationale
BETHISY-SAINT-MARTIN,60,La réfection des rues Gérard de Seroux et Célestin Ducro et du parking situé rue de l'Eglise,68480,10000,RAOUL Daniel,Sénat
BETHONCOURT,25,La reconstruction du gymnase Victor Hugo,2738340,25000,HERVIAUX Odette,Sénat
BETHONCOURT,25,La construction d'un logement de concierge dans le cadre de la reconstruction du gymnase Victor Hugo,138000,7000,JEANNEROT Claude,Sénat
BETHONVILLIERS,90,"La réfection des fossés situés rue de la Madeleine côté impair et la rénovation de la clôture du bâtiment communal situé 2, chemin du Canal du moulin",28838,10000,-,Réserve ministérielle
BETON-BAZOCHES,77,La réfection de la chapelle Saint-Prix et du bas-côté sud de la nef de l'église,410129,40000,JACOB Christian,Assemblée nationale
BETTIGNIES,59,La construction d'une réserve incendie,18937,5000,MARIN Christine,Assemblée nationale
BETTING,57,"L'enfouissement des réseaux et la réfection de la voirie, rues de la Libération et de la Ferme",396139,10000,LANG Pierre,Assemblée nationale
BEUGNEUX,2,La mise en conformité du réseau d'eau potable (tranche conditionnelle),70755,24000,VASSEUR Isabelle,Assemblée nationale
BEUGNEUX,2,"Travaux de drainage, rue des Petits Prés (voie communale n°6)",22200,1000,VASSEUR Isabelle,Assemblée nationale
BEUGNON,89,La réfection du sol de la salle de classe,11510,3000,ROLLAND Jean-Marie,Assemblée nationale
BEURE,25,L'aménagement de logements dans l'ancienne mairie-poste,306358,4000,GROSPERRIN Jacques,Assemblée nationale
BEUREY,10,"La réfection de la voirie, chemins des Clos et des Fossés et place de la Mairie",19880,3000,ADNOT Philippe,Sénat
BEUREY-SUR-SAULX,55,La réfection de la rue du Moulin,50462,5000,NAMY Christian,Sénat
BEUREY-SUR-SAULX,55,La réhabilitation et la mise aux normes de la salle Saint-Martin,35827,10000,NAMY Christian,Sénat
BEUVRAGES,59,Le remplacement des menuiseries extérieures de l'école Paul Langevin (tranche conditionnelle),19655,9827,BOCQUET Alain,Assemblée nationale
BEUVRON,58,La réfection de la mairie et de la salle des fêtes,25585,1000,PAUL Christian,Assemblée nationale
BEUVRY-LA-FORET,59,L'extension et l'aménagement de la mairie (2ème phase),400699,30000,ASSOULINE David,Sénat
BEUXES,86,La restauration de l'église Saint-Léger (1ère tranche),259545,25000,ABELIN Jean-Pierre,Assemblée nationale
BEVEUGE,70,La réfection de la fontaine et de ses abords,12765,3000,VILLAUME Jean-Michel,Assemblée nationale
BEVILLERS,59,"La réfection de la voirie, rue de la Chapelle",146500,15000,HERVIAUX Odette,Sénat
