Bénéficiaire,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve,Part prise en charge,Département,Groupe parlementaire,Lien vers données parlementaires
COURSON-MONTELOUP,La réfection de la toiture terrasse de l'école primaire,22666,10000,MALHERBE Guy,Assemblée nationale,"0,4411894467",91,UMP,http://2007.nosdeputes.fr/MALHERBE%20Guy/xml
COURTEMPIERRE,La mise en place d'une défense incendie,74880,11000,SUEUR Jean-Pierre,Sénat,"0,1469017094",45,SOC,http://nossenateurs.fr/SUEUR%20Jean-Pierre/xml
COURTENOT,La réfection de la toiture du logement communal,27080,2500,MATHIS Jean-Claude,Assemblée nationale,"0,0923190547",10,UMP,http://2007.nosdeputes.fr/MATHIS%20Jean-Claude/xml
COURTERANGES,L'acquisition et la restauration du lavoir communal,33000,1500,MATHIS Jean-Claude,Assemblée nationale,"0,0454545455",10,UMP,http://2007.nosdeputes.fr/MATHIS%20Jean-Claude/xml
COURTILS,La réfection du vestiaire du terrain de football,28295,6000,HUET Guenhaël,Assemblée nationale,"0,2120515992",50,UMP,http://2007.nosdeputes.fr/HUET%20Guenhaël/xml
COURTIVRON,Travaux de sécurisation le long de la RD 901 et la pose de radars pédagogiques (3ème tranche),7071,2000,HOUPERT Alain,Sénat,"0,282845425",21,UMP,http://nossenateurs.fr/HOUPERT%20Alain/xml
COURTIVRON,La restauration du Monument aux Morts,2376,500,REBSAMEN François,Sénat,"0,2104377104",21,SOC,http://nossenateurs.fr/REBSAMEN%20François/xml
COURTRY,La construction et l'équipement d'un accueil petite enfance,1055158,40000,BRICQ Nicole,Sénat,"0,0379090146",77,SOC,http://nossenateurs.fr/BRICQ%20Nicole/xml
COURVAUDON,Travaux de plâtrerie et d'électricité dans l'ancienne école,8387,1200,COUSIN Jean-Yves,Assemblée nationale,"0,143078574",14,UMP,http://2007.nosdeputes.fr/COUSIN%20Jean-Yves/xml
COURVAUDON,La réfection et l'isolation de l'ancienne école (4ème tranche),9220,4176,GARREC René,Sénat,"0,4529284165",14,UMP,http://nossenateurs.fr/GARREC%20René/xml
COURVILLE,La réhabilitation de l'ancienne école en salle communale,86778,25000,VAUTRIN Catherine,Assemblée nationale,"0,2880914518",51,UMP,http://2007.nosdeputes.fr/VAUTRIN%20Catherine/xml
COUSSA,La construction d'une mairie,301000,25100,MARC François,Sénat,"0,0833887043",9,SOC,http://nossenateurs.fr/MARC%20François/xml
COUSSEY,L'aménagement de la RD 164 en traversée d'agglomération,350000,20000,PONCELET Christian,Sénat,"0,0571428571",88,UMP,http://nossenateurs.fr/PONCELET%20Christian/xml
COUTENS,"La mise en sécurité de la traversée du village, route départementale 119",278816,30000,MARC François,Sénat,"0,1075978423",9,SOC,http://nossenateurs.fr/MARC%20François/xml
COUTRAS,L'acquisition d'un tracteur,33255,15000,MICHEL Jean-Pierre,Sénat,"0,451059991",33,SOC,http://nossenateurs.fr/MICHEL%20Jean-Pierre/xml
COUTURES-SUR-DROT,La restauration de l'église (programme  2012),69516,10000,PINTAT Xavier,Sénat,"0,1438517751",33,UMP,http://nossenateurs.fr/PINTAT%20Xavier/xml
COUTURE-SUR-LOIR,L'aménagement du centre bourg et des abords de l'église,231418,30000,0,Réserve ministérielle,"0,1296355513",41,,
COUY,"La réfection du mur d'enceinte de l'école, côté église et la pose de grilles neuves",15287,4500,POINTEREAU Rémy,Sénat,"0,2943677635",18,UMP,http://nossenateurs.fr/POINTEREAU%20Rémy/xml
COZZANO,La restauration de la toiture et des décors peints de l'église paroissiale,137450,24000,ALFONSI Nicolas,Sénat,"0,1746089487",2A,RDSE,http://nossenateurs.fr/ALFONSI%20Nicolas/xml
CRAC'H,L'extension et la rénovation de la mairie,768270,15000,LE SCOUARNEC Michel,Sénat,"0,019524386",56,CRC,http://nossenateurs.fr/LE%20SCOUARNEC%20Michel/xml
CRAMANS,L'aménagement de la voirie du chemin des Champs Noirots,59000,29500,SERMIER Jean-Marie,Assemblée nationale,"0,5",39,UMP,http://2007.nosdeputes.fr/SERMIER%20Jean-Marie/xml
CRAM-CHABAN,L'aménagement du parking de l'école,27049,10500,0,Réserve ministérielle,"0,3881844061",17,,
CRANS,"L'extension du cimetière, l'édification d'un columbarium et l'aménagement d'un jardin du souvenir",79450,5000,VOISIN Michel,Assemblée nationale,"0,0629326621",1,UMP,http://2007.nosdeputes.fr/VOISIN%20Michel/xml
CRANS,La construction d'une salle polyvalente,378512,5000,REINER Daniel,Sénat,"0,0132096208",1,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
CRAPONNE-SUR-ARZON,La réfection du boulevard du Nord et ses abords (tranches fermes et conditionnelles),477765,10000,VIGIER Jean-Pierre,Assemblée nationale,"0,0209307923",43,,http://2007.nosdeputes.fr/VIGIER%20Jean-Pierre/xml
CRAVANT-LES-COTEAUX,L'aménagement et la sécurisation  du centre-bourg,70428,10000,NOVELLI Hervé,Assemblée nationale,"0,1419889817",37,UMP,http://2007.nosdeputes.fr/NOVELLI%20Hervé/xml
CREANCEY,La mise aux normes de sécurité des salles de classe de l'école,8835,2500,SUGUENOT Alain,Assemblée nationale,"0,2829654782",21,UMP,http://2007.nosdeputes.fr/SUGUENOT%20Alain/xml
CRECY-COUVE,"L'aménagement d'un square sur le terrain ""Mariette""",3321,996,HAMEL Gérard,Assemblée nationale,"0,2999096658",28,UMP,http://2007.nosdeputes.fr/HAMEL%20Gérard/xml
CRECY-COUVE,La réfection des vannages du canal,2366,709,HAMEL Gérard,Assemblée nationale,"0,2996618766",28,UMP,http://2007.nosdeputes.fr/HAMEL%20Gérard/xml
CRECY-LA-CHAPELLE,L'aménagement d'une aire de jeux dans la cour de la bibliothèque,9951,4975,HOUEL Michel,Sénat,"0,4999497538",77,UMP,http://nossenateurs.fr/HOUEL%20Michel/xml
CRECY-LA-CHAPELLE,"L'acquisition de matériel informatique pour le groupe scolaire ""L'Eau Vive""",5405,2700,HOUEL Michel,Sénat,"0,4995374653",77,UMP,http://nossenateurs.fr/HOUEL%20Michel/xml
CRECY-LA-CHAPELLE,"L'acquisition d'une huile sur toile intitulée ""Les Saules à Crécy-en-Brie""",1500,750,HOUEL Michel,Sénat,"0,5",77,UMP,http://nossenateurs.fr/HOUEL%20Michel/xml
CREGY-LES-MEAUX,L'aménagement d'un restaurant scolaire à l'école élémentaire du Blamont,301000,8000,0,Réserve ministérielle,"0,0265780731",77,,
CREGY-LES-MEAUX,"L'installation de réseaux d'eau potable, de télécommunications, de fibre optique et d'éclairage public, rue de la Fontaine Sarrazin",202760,50000,BRICQ Nicole,Sénat,"0,2465969619",77,SOC,http://nossenateurs.fr/BRICQ%20Nicole/xml
CREHEN,L'aménagement d'un terrain multisports et d'un terrain de tennis près du complexe sportif Louis Hamon,95318,8000,GAUBERT Jean,Assemblée nationale,"0,0839295831",22,SRC,http://2007.nosdeputes.fr/GAUBERT%20Jean/xml
CREMIEU,La reprise du pavage dans les rues de la cité médiévale,80485,40000,MOYNE-BRESSAND Alain,Assemblée nationale,"0,4969870162",38,UMP,http://2007.nosdeputes.fr/MOYNE-BRESSAND%20Alain/xml
CREMPIGNY-BONNEGUETTE,Travaux de dénomination des voies et de numérotation des habitations,11050,3000,AMOUDRY Jean-Paul,Sénat,"0,2714932127",74,UDI,http://nossenateurs.fr/AMOUDRY%20Jean-Paul/xml
CREPOL,La construction d'une fontaine,14245,2000,THORAVAL Marie-Hélène,Assemblée nationale,"0,1404001404",26,UMP,http://2007.nosdeputes.fr/THORAVAL%20Marie-Hélène/xml
CREQUY,La réfection de la toiture de la salle des fêtes,48796,4500,LE MENN Jacky,Sénat,"0,0922206738",62,,http://nossenateurs.fr/LE%20MENN%20Jacky/xml
CRESANCEY,L'installation de radars pédagogiques sur la RD 67,8306,3000,JOYANDET Alain,Assemblée nationale,"0,3611846858",70,UMP,http://2007.nosdeputes.fr/JOYANDET%20Alain/xml
CRESPIERES,L'aménagement de sanitaires à l'école,16550,8000,0,Réserve ministérielle,"0,4833836858",78,,
CRESPIERES,L'acquisition d'une malette de baladodiffusion destinée aux élèves de l'école élémentaire,4000,2000,GOURNAC Alain,Sénat,"0,5",78,UMP,http://nossenateurs.fr/GOURNAC%20Alain/xml
CRESPY-LE-NEUF,La mise aux normes du réseau incendie,23196,3000,DHUICQ Nicolas,Assemblée nationale,"0,1293326436",10,UMP,http://2007.nosdeputes.fr/DHUICQ%20Nicolas/xml
CRESSONSACQ,"L'extension de l'éclairage public, ruelle du Cul de Sac",7706,3000,MARINI Philippe,Sénat,"0,3893070335",60,UMP,http://nossenateurs.fr/MARINI%20Philippe/xml
CREST,"La réfection de la voirie et l'enfouissement des réseaux, rue du professeur Mouriquand",27670,10000,ACCOYER Bernard,Assemblée nationale,"0,3614022407",26,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
CREST,"La réfection de la rue des Porterons, des rues Mettétal et Marcel Pagnol et de l'avenue des Arbres écrits",60000,30000,MARITON Hervé,Assemblée nationale,"0,5",26,UMP,http://2007.nosdeputes.fr/MARITON%20Hervé/xml
CREST,L'acquisition d'un terrain situé quartier Saint-Antoine,145215,70000,MARITON Hervé,Assemblée nationale,"0,482043866",26,UMP,http://2007.nosdeputes.fr/MARITON%20Hervé/xml
CREST,L'aménagement de la salle de restaurant et de la cuisine du groupe scolaire Charles Royannez (1ère tranche),80000,30000,MARITON Hervé,Assemblée nationale,"0,375",26,UMP,http://2007.nosdeputes.fr/MARITON%20Hervé/xml
CREST,L'acquisition d'un terrain situé rue Roch Grivel,96069,40000,MARITON Hervé,Assemblée nationale,"0,4163674026",26,UMP,http://2007.nosdeputes.fr/MARITON%20Hervé/xml
CREST,La mise aux normes d'hygiène et de sécurité de l'école maternelle Claire de Chandeneux (1ère tranche),90000,44000,MARITON Hervé,Assemblée nationale,"0,4888888889",26,UMP,http://2007.nosdeputes.fr/MARITON%20Hervé/xml
CREST,La mise aux normes d'hygiène et de sécurité de l'école de musique Georges Balandrau,60000,20000,MARITON Hervé,Assemblée nationale,"0,3333333333",26,UMP,http://2007.nosdeputes.fr/MARITON%20Hervé/xml
CRESTOT,"La restauration des vitraux, d'un panneau d'obits et la remise en état de deux statues à l'église",19905,3000,ZOCCHETTO François,Sénat,"0,1507159005",27,UDI,http://nossenateurs.fr/ZOCCHETTO%20François/xml
CRE-SUR-LOIR,"L'extension du réseau d'assainissement, voie Romaine",100000,18000,PAVY-MORANCAIS Béatrice,Assemblée nationale,"0,18",72,,http://2007.nosdeputes.fr/PAVY-MORANCAIS%20Béatrice/xml
CRETEIL,Le réaménagement du hall d'accueil de la Maison des Arts et de la Culture André Malraux,40000,20000,CATHALA Laurent,Assemblée nationale,"0,5",94,SRC,http://2007.nosdeputes.fr/CATHALA%20Laurent/xml
CREULLY,L'édification d'un columbarium et l'aménagement d'un jardin du souvenir,24046,4000,LEFRANC Jean-Marc,Assemblée nationale,"0,1663478333",14,UMP,http://2007.nosdeputes.fr/LEFRANC%20Jean-Marc/xml
CREVECHAMPS,La requalification de l'espace public avec mise en sécurité du centre du village et des écoles (phase 1),431702,5000,HUSSON Jean-François,Sénat,"0,0115820636",54,NI,http://nossenateurs.fr/HUSSON%20Jean-François/xml
CREVECOEUR-EN-BRIE,L'acquisition de matériel et de mobilier pour une salle de classe maternelle,11292,5500,JACOB Christian,Assemblée nationale,"0,4870704924",77,UMP,http://2007.nosdeputes.fr/JACOB%20Christian/xml
CREVECOEUR-EN-BRIE,L'aménagement d'un préau avec une toile tendue,25000,12500,JACOB Christian,Assemblée nationale,"0,5",77,UMP,http://2007.nosdeputes.fr/JACOB%20Christian/xml
CREVIN,"La réhabilitation et l'extension de l'ancienne école publique en centre culturel, médiathèque et ludothèque",996169,27500,MARC François,Sénat,"0,0276057577",35,SOC,http://nossenateurs.fr/MARC%20François/xml
CREYSSE,La mise en sécurité du carrefour de la RD 114 et l'aménagement d'un parking,81500,8000,LAUNAY Jean,Assemblée nationale,"0,0981595092",46,SRC,http://2007.nosdeputes.fr/LAUNAY%20Jean/xml
CREYSSENSAC-ET-PISSOT,L'extension de la salle de réunion de la mairie,224915,5000,PEIRO Germinal,Assemblée nationale,"0,0222306205",24,SRC,http://2007.nosdeputes.fr/PEIRO%20Germinal/xml
CREZANCY,L'aménagement d'un éco-quartier (2ème tranche),353841,25000,VASSEUR Isabelle,Assemblée nationale,"0,070653203",2,UMP,http://2007.nosdeputes.fr/VASSEUR%20Isabelle/xml
CREZILLES,L'aménagement et la sécurisation de la traversée du village (tranche conditionnelle),411021,20000,0,Réserve ministérielle,"0,0486593142",54,,
CRION,"L'aménagement de trottoirs, route de Bienville",120000,4000,HUSSON Jean-François,Sénat,"0,0333333333",54,NI,http://nossenateurs.fr/HUSSON%20Jean-François/xml
CRION,"L'enfouissement des réseaux aériens, route de Bienville",49132,4000,REINER Daniel,Sénat,"0,0814133355",54,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
CRIQUEBEUF-LA-CAMPAGNE,La réfection de la toiture de l'Eglise,61413,5000,NICOLAS Jean-Pierre,Assemblée nationale,"0,0814159868",27,UMP,http://2007.nosdeputes.fr/NICOLAS%20Jean-Pierre/xml
CRIQUEBEUF-LA-CAMPAGNE,La restauration de la toiture de l'église de Limbeuf,40539,7000,BOURDIN Joël,Sénat,"0,1726732282",27,UMP,http://nossenateurs.fr/BOURDIN%20Joël/xml
CRIQUEBEUF-LA-CAMPAGNE,"La réfection de l'éclairage public au lieu-dit ""Le Bout à Mont""",1678,838,PONIATOWSKI Ladislas,Sénat,"0,4994040524",27,UMP,http://nossenateurs.fr/PONIATOWSKI%20Ladislas/xml
CRIQUIERS,L'aménagement du parking de l'école,81801,15000,LEJEUNE Michel,Assemblée nationale,"0,1833718414",76,UMP,http://2007.nosdeputes.fr/LEJEUNE%20Michel/xml
CRISSAY-SUR-MANSE,La réhabilitation du logement communal situé place de l'Eglise,23732,3500,NOVELLI Hervé,Assemblée nationale,"0,1474801955",37,UMP,http://2007.nosdeputes.fr/NOVELLI%20Hervé/xml
CROCY,Le renforcement de la chaussée sur la voie communale n°304 de Hurlevent,35593,6200,DUPONT Ambroise,Sénat,"0,1741915545",14,UMP,http://nossenateurs.fr/DUPONT%20Ambroise/xml
CROISILLES,La réfection de la toiture de la mairie et du logement communal,17535,2500,0,Réserve ministérielle,"0,1425719989",61,,
CROISSY-SUR-SEINE,"L'enfouissement des réseaux, avenue Eprémesnil",210609,57000,LEQUILLER Pierre,Assemblée nationale,"0,2706437047",78,UMP,http://2007.nosdeputes.fr/LEQUILLER%20Pierre/xml
CROISSY-SUR-SEINE,La construction de courts de tennis couverts au parc omnisports,660000,20000,GOURNAC Alain,Sénat,"0,0303030303",78,UMP,http://nossenateurs.fr/GOURNAC%20Alain/xml
CROISY-SUR-EURE,La réfection du sol du choeur de l'église Saint-Germain,8498,2229,MAUREY Hervé,Sénat,"0,2622970111",27,UDI,http://nossenateurs.fr/MAUREY%20Hervé/xml
CROIX-CALUYAU,La réfection de la toiture du bâtiment mairie-salle des fêtes,38866,10100,LEGENDRE Jacques,Sénat,"0,2598672361",59,UMP,http://nossenateurs.fr/LEGENDRE%20Jacques/xml
CROIX-FONSOMME,La réhabilitation et la mise en accessibilité de la salle des fêtes,95248,4800,BERTRAND Xavier,Assemblée nationale,"0,0503947589",2,UMP,http://2007.nosdeputes.fr/BERTRAND%20Xavier/xml
CROIX-FONSOMME,Le remplacement des fenêtres de la salle de réunion et du secrétariat de la mairie,8182,2400,JEANNEROT Claude,Sénat,"0,293326815",2,SOC,http://nossenateurs.fr/JEANNEROT%20Claude/xml
CRONCE,"L'aménagement de la voie communale n°4, route de Montmouret",74375,5000,ROCHE Gérard,Sénat,"0,0672268908",43,UDI,http://nossenateurs.fr/ROCHE%20Gérard/xml
CROS-DE-RONESQUE,La construction d'un bâtiment technique,51501,10000,0,Réserve ministérielle,"0,194170987",15,,
CROSEY-LE-PETIT,La réhabilitation de l'ancienne fromagerie en logements locatifs,297958,30000,JEANNEROT Claude,Sénat,"0,1006853315",25,SOC,http://nossenateurs.fr/JEANNEROT%20Claude/xml
CROSMIERES,L'aménagement du terrain de football,37665,15000,PAVY-MORANCAIS Béatrice,Assemblée nationale,"0,3982477101",72,,http://2007.nosdeputes.fr/PAVY-MORANCAIS%20Béatrice/xml
CROSNE,L'aménagement du rond-point des Droits de l'Homme,131661,20000,MARC François,Sénat,"0,1519052719",91,SOC,http://nossenateurs.fr/MARC%20François/xml
CROSNE,L'installation de caméras de vidéo-surveillance et la modification de la salle de supervision,17883,4000,MARC François,Sénat,"0,223676117",91,SOC,http://nossenateurs.fr/MARC%20François/xml
CROSSAC,L'aménagement de la rue du stade,300000,20000,0,Réserve ministérielle,"0,0666666667",44,,
CROSVILLE-LA-VIEILLE,La réfection de la placette de la rue du Val Saint-Martin,12804,2000,PONIATOWSKI Ladislas,Sénat,"0,1562011871",27,UMP,http://nossenateurs.fr/PONIATOWSKI%20Ladislas/xml
CROTTES-EN-PITHIVERAIS,La réfection des églises de Crottes-en-Pithiverais et de Teillay-Saint-Benoist,56725,6000,DUBOIS Marianne,Assemblée nationale,"0,1057734685",45,UMP,http://2007.nosdeputes.fr/DUBOIS%20Marianne/xml
CROUSEILLES,La rénovation du foyer rural,44374,3000,HABIB David,Assemblée nationale,"0,0676071573",64,SRC,http://2007.nosdeputes.fr/HABIB%20David/xml
CROUY-SAINT-PIERRE,La construction d'une mairie annexe à Saint-Pierre-à-Gouy,123601,13000,MARTIN Pierre,Sénat,"0,1051771426",80,UMP,http://nossenateurs.fr/MARTIN%20Pierre/xml
CROUY-SUR-COSSON,Le réaménagement du bâtiment du camping municipal,3076,1500,REINER Daniel,Sénat,"0,4876462939",41,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
CROUY-SUR-OURCQ,"La construction d'un restaurant scolaire, d'un accueil périscolaire et l'aménagement de ses abords",900000,20000,0,Réserve ministérielle,"0,0222222222",77,,
CROUZET-MIGETTE,La construction d'un abri en bois sur la place du village,13252,1300,HUMBERT Jean-François,Sénat,"0,0980984002",25,UMP,http://nossenateurs.fr/HUMBERT%20Jean-François/xml
CROUZILLES,La réfection de la voirie (programme 2012),36976,6500,NOVELLI Hervé,Assemblée nationale,"0,1757897014",37,UMP,http://2007.nosdeputes.fr/NOVELLI%20Hervé/xml
CROZE,La mise en sécurité de la voie communale n°1 et de l'accès au cimetière,196749,30000,RAOUL Daniel,Sénat,"0,1524785386",23,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
CROZES-HERMITAGE,La construction d'un équipement rural d'animation et culturel,949862,10000,HERVIAUX Odette,Sénat,"0,0105278451",26,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
CROZET,La restauration de la bannière du corps des sapeurs-pompiers,5148,2500,BLANC Etienne,Assemblée nationale,"0,4856254856",1,UMP,http://2007.nosdeputes.fr/BLANC%20Etienne/xml
CROZET,La mise en place de potelets autour du Monument aux Morts,2776,1300,BLANC Etienne,Assemblée nationale,"0,4682997118",1,UMP,http://2007.nosdeputes.fr/BLANC%20Etienne/xml
CRUCEY-VILLAGES,La réfection des routes de Boisville et de Théssilly (2ème partie),47480,20000,0,Réserve ministérielle,"0,4212299916",28,,
CRUET,"L'acquisition des parcelles C974 et C975 au lieu-dit ""Le Pray""",147676,30000,RAOUL Daniel,Sénat,"0,2031474309",73,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
CRUSNES,L'aménagement d'un parking devant la mairie,30000,8000,DIDIER Evelyne,Sénat,"0,2666666667",54,CRC,http://nossenateurs.fr/DIDIER%20Evelyne/xml
CRUSNES,La construction d'un parking et la réfection de la place située devant la salle polyvalente,49000,5000,REINER Daniel,Sénat,"0,1020408163",54,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
CUBRY,La restauration de la fontaine-lavoir située rue du Monument,14467,2000,HUMBERT Jean-François,Sénat,"0,1382456625",25,UMP,http://nossenateurs.fr/HUMBERT%20Jean-François/xml
CUBZAC-LES-PONTS,La restructuration du groupe scolaire Gustave Eiffel,1091633,15000,CARTRON Françoise,Sénat,"0,0137408818",33,SOC,http://nossenateurs.fr/CARTRON%20Françoise/xml
CUCHERY,La restauration des cloches de l'église,14184,7000,FERAT Françoise,Sénat,"0,4935138184",51,UDI,http://nossenateurs.fr/FERAT%20Françoise/xml
CUEBRIS,L'acquisition d'un véhicule-remorque-épandeur et autres accessoires,23675,4150,HERVIAUX Odette,Sénat,"0,1752903907",6,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
CUGUEN,L'extension et la réhabilitation de l'école maternelle et primaire publique (2ème phase),342061,35000,LE MENN Jacky,Sénat,"0,1023209311",35,,http://nossenateurs.fr/LE%20MENN%20Jacky/xml
CUILLE,La réfection de la salle des fêtes,66338,10000,BERNIER Marc,Assemblée nationale,"0,1507431638",53,UMP,http://2007.nosdeputes.fr/BERNIER%20Marc/xml
CUILLE,L'aménagement et la sécurisation des traverses d'agglomération sur les RD 32 et 127,96000,7500,ZOCCHETTO François,Sénat,"0,078125",53,UDI,http://nossenateurs.fr/ZOCCHETTO%20François/xml
CUINZIER,La requalification de la RD 70 et des abords de l'école,260026,10000,FOURNIER Bernard,Sénat,"0,0384576927",42,UMP,http://nossenateurs.fr/FOURNIER%20Bernard/xml
CUISEREY,Le remplacement de la borne incendie située au bas de la petite rue,1400,500,HOUPERT Alain,Sénat,"0,3571428571",21,UMP,http://nossenateurs.fr/HOUPERT%20Alain/xml
CUISIA,La rénovation de la salle communale,10557,2000,PELISSARD Jacques,Assemblée nationale,"0,1894477598",39,UMP,http://2007.nosdeputes.fr/PELISSARD%20Jacques/xml
CUISSY-ET-GENY,Le remplacement des fenêtres du bâtiment communal,5138,2569,LEFEVRE Antoine,Sénat,"0,5",2,UMP,http://nossenateurs.fr/LEFEVRE%20Antoine/xml
CUISY,L'installation d'une armoire de commande d'éclairage public face à la mairie et la création d'un point lumineux pour la sécurisation de l'intersection de la rue du jeu d'Arc et de la route départementale,13663,6000,0,Réserve ministérielle,"0,4391422089",77,,
CUISY-EN-ALMONT,"La réhabilitation du logement situé 12, rue de la Mairie",54062,6000,JEANNEROT Claude,Sénat,"0,1109836854",2,SOC,http://nossenateurs.fr/JEANNEROT%20Claude/xml
CULAN,L'aménagement d'un parcours de santé dans la zone de loisirs,16978,7794,POINTEREAU Rémy,Sénat,"0,4590646719",18,UMP,http://nossenateurs.fr/POINTEREAU%20Rémy/xml
CULLES-LES-ROCHES,La réhabilitation des locaux de la mairie,69260,15000,SIRUGUE Christophe,Assemblée nationale,"0,2165752238",71,SRC,http://2007.nosdeputes.fr/SIRUGUE%20Christophe/xml
CULMONT,La réfection de la toiture de la mairie,23984,3500,DELONG Sophie,Assemblée nationale,"0,1459306204",52,UMP,http://2007.nosdeputes.fr/DELONG%20Sophie/xml
CULOZ,L'acquisition de défibrillateurs cardiaques automatiques et de boîtiers muraux,3170,1584,GOY-CHAVENT Sylvie,Sénat,"0,4996845426",1,UDI,http://nossenateurs.fr/GOY-CHAVENT%20Sylvie/xml
CULT,La réfection des toitures de l'église et d'une tour de la Maison Forte,73174,5000,JOYANDET Alain,Assemblée nationale,"0,0683302812",70,UMP,http://2007.nosdeputes.fr/JOYANDET%20Alain/xml
CUMIERES,"La réhabilitation du logement communal situé 79, rue Gaston Poittevin",45488,22000,MARTIN Philippe-Armand,Assemblée nationale,"0,483644038",51,,http://2007.nosdeputes.fr/MARTIN%20Philippe-Armand/xml
CUMONT,La réfection du chemin n°107 du Fourestage,23703,10000,COLLIN Yvon,Sénat,"0,4218875248",82,RDSE,http://nossenateurs.fr/COLLIN%20Yvon/xml
CUNEL,La réfection de la salle de la mairie,24880,6000,NAMY Christian,Sénat,"0,2411575563",55,UDI,http://nossenateurs.fr/NAMY%20Christian/xml
CUNELIERES,"L'évacuation des eaux pluviales, rue des Orgues",9396,4000,CHEVENEMENT Jean-Pierre,Sénat,"0,4257130694",90,RDSE,http://nossenateurs.fr/CHEVENEMENT%20Jean-Pierre/xml
CUPERLY,"La rénovation de l'éclairage public, rue de Reims",28000,7000,THOMAS Jean-Claude,Assemblée nationale,"0,25",51,UMP,http://2007.nosdeputes.fr/THOMAS%20Jean-Claude/xml
CUQ-TOULZA,La construction de vestiaires à la Plaine des Sports,135361,15000,LE MENN Jacky,Sénat,"0,1108147842",81,,http://nossenateurs.fr/LE%20MENN%20Jacky/xml
CURBIGNY,"La réfection du mur de soutènement du terrain du logement ""la cure""",14539,7269,ACCOYER Bernard,Assemblée nationale,"0,4999656097",71,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
CURCY-SUR-ORNE,La restauration de l'église,22386,10000,GARREC René,Sénat,"0,4467077638",14,UMP,http://nossenateurs.fr/GARREC%20René/xml
CUREMONTE,La mise aux normes de la salle communale,100888,2500,NAUCHE Philippe,Assemblée nationale,"0,024779954",19,SRC,http://2007.nosdeputes.fr/NAUCHE%20Philippe/xml
CUREMONTE,La mise aux normes du bâtiment école,154535,10000,HERVIAUX Odette,Sénat,"0,0647102598",19,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
CURGIES,La réfection des sanitaires des écoles,29184,14000,BORLOO Jean-Louis,Assemblée nationale,"0,4797149123",59,UMP,http://2007.nosdeputes.fr/BORLOO%20Jean-Louis/xml
CURGIES,L'aménagement des trottoirs rue d'Aulnoy,20250,10000,LETARD Valérie,Sénat,"0,4938271605",59,UDI,http://nossenateurs.fr/LETARD%20Valérie/xml
CURLEY,L'enfouissement des réseaux électriques et téléphoniques,72047,15000,REBSAMEN François,Sénat,"0,2081974267",21,SOC,http://nossenateurs.fr/REBSAMEN%20François/xml
CURNIER,La restauration de l'église Saint-Nicolas,64539,10000,0,Réserve ministérielle,"0,154945072",26,,
CUSEY,L'aménagement de nouvelles voiries,27435,4342,GUENE Charles,Sénat,"0,15826499",52,UMP,http://nossenateurs.fr/GUENE%20Charles/xml
CUSSAC-FORT-MEDOC,Le remplacement de la main courante du terrain de football,14213,7000,CARTRON Françoise,Sénat,"0,4925068599",33,SOC,http://nossenateurs.fr/CARTRON%20Françoise/xml
CUSSY,Travaux d'assainissement pluvial sur la RD 210 et d'accotement sur la RD 613,34293,6000,DUPONT Jean-Léonce,Sénat,"0,1749628204",14,UDI,http://nossenateurs.fr/DUPONT%20Jean-Léonce/xml
CUSTINES,L'extension et la réfection du cimetière,291999,29000,HENART Laurent,Assemblée nationale,"0,0993154086",54,UMP,http://2007.nosdeputes.fr/HENART%20Laurent/xml
CUVERVILLE-EN-CAUX,L'acquisition et la mise en place d'une réserve incendie,20522,4000,FIDELIN Daniel,Assemblée nationale,"0,1949127765",76,UMP,http://2007.nosdeputes.fr/FIDELIN%20Daniel/xml
CUVILLERS,La réfection des rues Léon Dordain et de la Chapelle,37806,5000,VILLAIN François-Xavier,Assemblée nationale,"0,1322541396",59,NI,http://2007.nosdeputes.fr/VILLAIN%20François-Xavier/xml
CUVRY,L'aménagement d'une place du Souvenir avec mise en place d'un Monument aux Morts,60819,3000,BRICQ Nicole,Sénat,"0,0493266907",57,SOC,http://nossenateurs.fr/BRICQ%20Nicole/xml
CUY-SAINT-FIACRE,"La restauration du clocher de l'église et de la toiture d'une partie de la nef, côté cimetière",76438,5000,MORIN-DESAILLY Catherine,Sénat,"0,0654124912",76,UDI,http://nossenateurs.fr/MORIN-DESAILLY%20Catherine/xml
CUZANCE,La construction de la Maison de la Truffe,658274,30000,REQUIER Jean-Claude,Sénat,"0,0455737277",46,RDSE,http://nossenateurs.fr/REQUIER%20Jean-Claude/xml
CYS-LA-COMMUNE,"L'enfouissement des réseaux, route de Presles",42075,7500,VASSEUR Isabelle,Assemblée nationale,"0,1782531194",2,UMP,http://2007.nosdeputes.fr/VASSEUR%20Isabelle/xml
