date,heure,convocation,présent
2009-05-18,20:00,2009-05-13,Mme Gardeils Valérie
2009-05-18,20:00,2009-05-13,Mme Gillet Nelly
2010-06-19,10:00,2010-06-15,M. Fourcade Michel
2010-06-19,10:00,2010-06-15,M. Blanc-Simon Jean-Luc
2010-06-19,10:00,2010-06-15,Mme Sourigues Angéline
2010-06-19,10:00,2010-06-15,M. Dupouy Serge
2010-06-19,10:00,2010-06-15,Mme Gillet Nelly
2010-06-19,10:00,2010-06-15,M. Fornier de Lachaux Jean
2010-06-19,10:00,2010-06-15,M. Lassalle Jean-Pierre
2010-06-19,10:00,2010-06-15,Mme Schaerer Fabienne
2010-06-19,10:00,2010-06-15,M. Marchal Alain
2010-06-19,10:00,2010-06-15,M. Martinez Laurent
2010-06-19,10:00,2010-06-15,M. Elineau Jean-Christophe
2011-10-20,18:30,2011-10-13,M. Jean-Luc Blanc-Simon
2011-10-20,18:30,2011-10-13,Mme Angélina Sourigues
2011-10-20,18:30,2011-10-13,M. Serge Dupouy
2011-10-20,18:30,2011-10-13,Mme Valérie Gardeils
2011-10-20,18:30,2011-10-13,Mme Nelly Gillet
2011-10-20,18:30,2011-10-13,M. Jean Fornier de Lachaux
2011-10-20,18:30,2011-10-13,M. Jean-Pierre Lassalle
2011-10-20,18:30,2011-10-13,Mme Fabienne Schaerer
2011-10-20,18:30,2011-10-13,M. Alain Marchal
2011-10-20,18:30,2011-10-13,M. Gilles Laporte
2011-10-20,18:30,2011-10-13,M. Jean-Christophe Elineau
2011-10-20,18:30,2011-10-13,M. Jacques Lafitte
2011-10-20,18:30,2011-10-13,M. Jean-Jacques Lesbats
2011-10-20,18:30,2011-10-13,Mme Jessy Péan
2010-10-21,20:00,2010-10-14,M. Blanc-Simon Jean-Luc
2010-10-21,20:00,2010-10-14,Mme Sourigues Angéline
2010-10-21,20:00,2010-10-14,M. Dupouy Serge
2010-10-21,20:00,2010-10-14,Mme Gillet Nelly
2010-10-21,20:00,2010-10-14,M. Fornier de Lachaux Jean
2010-10-21,20:00,2010-10-14,M. Lassalle Jean-Pierre
2010-10-21,20:00,2010-10-14,M. Laporte Gilles
2010-10-21,20:00,2010-10-14,Mme Gardeils Valérie
2009-06-22,20:00,2009-06-16,M. Fourcade Michel
2009-06-22,20:00,2009-06-16,M. Blanc-Simon Jean-Luc
2009-06-22,20:00,2009-06-16,Mme Sourigues Angéline
2009-06-22,20:00,2009-06-16,M. Dupouy Serge
2009-06-22,20:00,2009-06-16,Mme Gillet Nelly
2009-06-22,20:00,2009-06-16,M. Fornier de Lachaux Jean
2009-06-22,20:00,2009-06-16,M. Lassalle Jean-Pierre
2009-06-22,20:00,2009-06-16,Mme Schaerer Fabienne
2009-06-22,20:00,2009-06-16,M. Marchal Alain
2009-06-22,20:00,2009-06-16,M. Laporte Gilles
2009-06-22,20:00,2009-06-16,Mme Gardeils Valérie
2009-06-22,20:00,2009-06-16,M. Elineau Jean-Christophe
2012-10-22,18:30,2012-10-16,M. Jean-Luc Blanc-Simon
2012-10-22,18:30,2012-10-16,Mme Angélina Sourigues
2012-10-22,18:30,2012-10-16,M. Serge Dupouy
2012-10-22,18:30,2012-10-16,Mme Valérie Gardeils
2012-10-22,18:30,2012-10-16,Mme Nelly Gillet
2012-10-22,18:30,2012-10-16,M. Jean Fornier de Lachaux
2012-10-22,18:30,2012-10-16,M. Jean-Pierre Lassalle
2012-10-22,18:30,2012-10-16,Mme Fabienne Schaerer
2012-10-22,18:30,2012-10-16,M. Jean-Christophe Elineau
2012-10-22,18:30,2012-10-16,M. Jacques Lafitte
2012-10-22,18:30,2012-10-16,M. Jean-Jacques Lesbats
2012-10-22,18:30,2012-10-16,Mme Jessy Pean
2008-04-24,20:30,2008-04-21,M. Fourcade Michel
2008-04-24,20:30,2008-04-21,M. Morel Yves
2008-04-24,20:30,2008-04-21,M. Blanc-Simon Jean-Luc
2008-04-24,20:30,2008-04-21,Mme Sourigues Angéline
2008-04-24,20:30,2008-04-21,M. Dupouy Serge
2008-04-24,20:30,2008-04-21,M. Fornier de Lachaux Jean
2008-04-24,20:30,2008-04-21,Melle Galbert Ingrid
2008-04-24,20:30,2008-04-21,M. Lassalle Jean-Pierre
2008-04-24,20:30,2008-04-21,M. Marchal Alain
2008-04-24,20:30,2008-04-21,M. Martinez Laurent
2008-04-24,20:30,2008-04-21,Mme Gillet Nelly
2008-03-25,18:30,2008-03-21,M. Fourcade Michel
2008-03-25,18:30,2008-03-21,M. Morel Yves
2008-03-25,18:30,2008-03-21,M. Blanc-Simon Jean-Luc
2008-03-25,18:30,2008-03-21,Mme Sourigues Angéline
2008-03-25,18:30,2008-03-21,M. Dupouy Serge
2008-03-25,18:30,2008-03-21,M. Fornier de Lachaux Jean
2008-03-25,18:30,2008-03-21,Melle Galbert Ingrid
2008-03-25,18:30,2008-03-21,M. Lassalle Jean-Pierre
2008-03-25,18:30,2008-03-21,Mme Schaerer Fabienne
2008-03-25,18:30,2008-03-21,M. Laporte Gilles
2008-03-25,18:30,2008-03-21,Mme Gardeils Valérie
2008-03-25,18:30,2008-03-21,M. Martinez Laurent
2008-03-25,18:30,2008-03-21,M. Elineau Jean-Christophe
2008-03-25,18:30,2008-03-21,Mme Gillet Nelly
2009-10-26,19:00,2009-10-23,M. Fourcade Michel
2009-10-26,19:00,2009-10-23,Mme Sourigues Angéline
2009-10-26,19:00,2009-10-23,M. Dupouy Serge
2009-10-26,19:00,2009-10-23,Mme Gillet Nelly
2009-10-26,19:00,2009-10-23,M. Fornier de Lachaux Jean
2009-10-26,19:00,2009-10-23,M. Lassalle Jean-Pierre
2009-10-26,19:00,2009-10-23,Mme Schaerer Fabienne
2009-10-26,19:00,2009-10-23,M. Marchal Alain
2009-10-26,19:00,2009-10-23,M. Laporte Gilles
2009-10-26,19:00,2009-10-23,Mme Gardeils Valérie
2009-10-26,19:00,2009-10-23,M. Elineau Jean-Christophe
2011-07-27,18:30,2011-07-19,M. Jean-Luc Blanc-Simon
2011-07-27,18:30,2011-07-19,Mme Angélina Sourigues
2011-07-27,18:30,2011-07-19,M. Serge Dupouy
2011-07-27,18:30,2011-07-19,Mme Valérie Gardeils
2011-07-27,18:30,2011-07-19,Mme Nelly Gillet
2011-07-27,18:30,2011-07-19,M. Jean Fornier de Lachaux
2011-07-27,18:30,2011-07-19,Mme Fabienne Schaerer
2011-07-27,18:30,2011-07-19,M. Alain Marchal
2011-07-27,18:30,2011-07-19,M. Gilles Laporte
2011-07-27,18:30,2011-07-19,M. Jacques Lafitte
2011-07-27,18:30,2011-07-19,M. Jean-Jacques Lesbats
2010-09-27,20:00,2010-09-21,M. Blanc-Simon Jean-Luc
2010-09-27,20:00,2010-09-21,Mme Sourigues Angéline
2010-09-27,20:00,2010-09-21,M. Dupouy Serge
2010-09-27,20:00,2010-09-21,Mme Gillet Nelly
2010-09-27,20:00,2010-09-21,M. Fornier de Lachaux Jean
2010-09-27,20:00,2010-09-21,Mme Schaerer Fabienne
2010-09-27,20:00,2010-09-21,M. Marchal Alain
2010-09-27,20:00,2010-09-21,M. Laporte Gilles
2010-09-27,20:00,2010-09-21,Mme Gardeils Valérie
2010-09-27,20:00,2010-09-21,M. Martinez Laurent
2010-09-27,20:00,2010-09-21,M. Elineau Jean-Christophe
2011-03-28,18:30,2011-03-23,M. Jean-Luc Blanc-Simon
2011-03-28,18:30,2011-03-23,Mme Angélina Sourigues
2011-03-28,18:30,2011-03-23,M. Serge Dupouy
2011-03-28,18:30,2011-03-23,Mme Valérie Gardeils
2011-03-28,18:30,2011-03-23,Mme Nelly Gillet
2011-03-28,18:30,2011-03-23,M. Jean Fornier de Lachaux
2011-03-28,18:30,2011-03-23,M. Jean-Pierre Lassalle
2011-03-28,18:30,2011-03-23,Mme Fabienne Schaerer
2011-03-28,18:30,2011-03-23,M. Alain Marchal
2011-03-28,18:30,2011-03-23,M. Gilles Laporte
2011-03-28,18:30,2011-03-23,M. Jean-Christophe Elineau
2011-03-28,18:30,2011-03-23,M. Jacques Lafitte
2011-03-28,18:30,2011-03-23,M. Jean-Jacques Lesbats
