30,M. Alain Marchal
36,M. Gilles Laporte
17,M. Jacques Lafitte
33,M. Jean-Christophe Elineau
45,M. Jean Fornier de Lachaux
17,M. Jean-Jacques Lesbats
45,M. Jean-Luc Blanc-Simon
43,M. Jean-Pierre Lassalle
23,M. Laurent Martinez
5,Mlle Ingrid Galbert
44,Mme Angéline Sourigues
30,Mme Fabienne Schaerer
14,Mme Jessy Pean
42,Mme Nelly Gillet
43,Mme Valérie Gardeils
26,M. Michel Fourcade
45,M. Serge Dupouy
9,M. Yves Morel
