15,2008-03-15,09:15
14,2008-03-25,18:30
13,2008-04-08,18:30
13,2008-04-14,18:30
11,2008-04-24,20:30
13,2008-06-02,20:00
13,2008-09-11,20:00
13,2008-10-15,20:00
13,2008-12-08,20:00
12,2009-03-11,
11,2009-03-31,
12,2009-04-14,20:00
9,2009-05-18,20:00
12,2009-06-22,20:00
12,2009-09-08,20:00
11,2009-10-12,20:00
11,2009-10-26,19:00
12,2009-11-09,20:00
10,2009-12-08,20:00
9,2010-03-16,20:00
12,2010-04-06,18:30
13,2010-04-13,19:00
11,2010-05-11,19:00
10,2010-06-08,20:00
11,2010-06-19,10:00
11,2010-07-12,20:00
11,2010-09-27,20:00
8,2010-10-21,20:00
15,2010-11-20,08:30
12,2010-11-29,18:30
13,2011-01-10,18:30
12,2011-02-14,19:00
14,2011-03-28,18:30
12,2011-04-04,18:30
10,2011-05-30,20:00
11,2011-07-27,18:30
15,2011-10-03,18:30
14,2011-10-20,18:30
12,2011-12-12,18:30
12,2012-03-05,18:30
12,2012-04-12,19:00
12,2012-06-11,20:00
9,2012-07-17,19:00
12,2012-09-17,18:30
12,2012-10-22,18:30
12,2012-12-10,18:30
