pays,nom pap,auteur,titre,editeur,type,editeur trad,periode
BULGARIE,Vitocha,François Mauriac,Ce que je crois,Grasset & Fasquelle,inconnu,Fondation Communitas,2013-02-01
BULGARIE,Vitocha,Mœglin Pierre ,Les Industries éducatives,PUF,inconnu,Ciela Norma AD,2013-02-01
BULGARIE,Vitocha,Reza Yasmina,Heureux les heureux,Flammarion,Littérature,Fakel express,2013-06-01
BULGARIE,Vitocha,Ruffin Jean-Christophe,Le Grand coeur,Gallimard,Littérature,Paradox,2013-06-01
BULGARIE,Vitocha,Weyergans François ,Salomé,Léo Sheer,inconnu,Paradox,2013-02-01
CAMBODGE,,,L'Eau et la terre,Guy Delcourt Productions,inconnu,Les Éditions du Mékong,2008-01-01
CANADA,,Boismorand Pierre,Magda et André TrocméFigures de résistances,Éd. du Cerf,OK,McGill-Queen's University Press,2010-09-01
CANADA,,Dagtekin Seyhmus,A la source; la nuit,Robert Laffont,œuvres littéraires contemporaines,McGill-Queen's University Press,2010-03-01
CANADA,,Abouet Marguerite et Oubrerie Clément,Aya Yopougon (volumes 1 à 6),Gallimard Jeunesse,BD,Drawn & Quarterly,2011-03-01
CANADA,,Ricard Anouk,Anna et Froga (volumes 1; 2),Sarbacane,Jeunesse,Drawn & Quarterly,2011-03-01
CANADA,,Favret Hafida et Lerasle Magdeleine ,À l'ombre de l'olivier,Didier Jeunesse//Rageot,Jeunesse,The Secret Mountain,2012-03-01
CANADA,,de Kerangal Maylis,Naissance d'un pont,Gallimard,Littérature,Talon Books,2013-06-01
CANADA,,Delisle Guy,Le Guide du mauvais père,auteur détenteur des droits,inconnu,Drawn and Quarterly,2013-02-01
CANADA,,Haddad Hubert,Palestine,Zulma,Littérature,Guernica Éd. Inc.,2013-02-01
CANADA,,Hofmann Catherine; Richard Hélène et Vagnon Emmanuelle,L'Âge d'or des cartes marines,Éd. du Seuil,inconnu,Firefly Books Ltd.,2013-02-01
CANADA,,Ricard Anouk,Coucous Bouzon,Gallimard Jeunesse,inconnu,Drawn and Quarterly,2013-02-01
CANADA,,Vehlmann Fabien; Kerascoët et Pommepuy Marie,Jolies ténèbres,Mediatoon//Dupuis,BD,Drawn and Quarterly,2013-02-01
CHILI,Pablo Neruda,Guyomard Dominique ,L'effet-mère. L'entre et fille. Du lien à la relation,PUF,Psychologie/Psychanalyse,Editorial catalonia Ltda.,2011-03-01
CHILI,Pablo Neruda,Saint Girons Baldine ,L'Acte esthétique,Klincksieck,Philosophie/Religion,LOM Ediciones,2011-03-01
CHINE,Fu Lei,Alemagna Beatrice,Un lion à Paris,Autrement Jeunesse,Jeunesse,Nanjing University Press,2008-01-01
CHINE,Fu Lei,Berr Hélène,Journal,Tallandier,inconnu,Chase litte et Writer's Publishing House,2008-01-01
CHINE,Fu Lei,Brun-Cosme Nadine ,Grand loup et petit loup,Flammarion,inconnu,Jieli Publishing House,2008-01-01
CHINE,Fu Lei,Leroy Gilles ,Alabama song,Mercure de France,Littérature,Chase litte et Writer's Publishing House,2008-01-01
CHINE,Fu Lei,Ageorges Sylvain,Sur les traces de l'exposition universelle,Parigramme,inconnu,Shangai Bookstore Publishing House,2009-03-01
CHINE,Fu Lei,Beauvoir Simone (de),La Force de l'âge,Gallimard,inconnu,Ed. Chasse-Litte,2009-03-01
CHINE,Fu Lei,Beauvoir Simone (de),La Force des choses,Gallimard,inconnu,Ed. Chasse-Litte,2009-03-01
CHINE,Fu Lei,Beauvoir Simone (de),La Longue Marche,Gallimard,inconnu,Ed. Chasse-Litte,2009-03-01
CHINE,Fu Lei,Beauvoir Simone (de),Mémoires d'une jeune fille rangée,Gallimard,inconnu,Ed. Chasse-Litte,2009-03-01
CHINE,Fu Lei,Boudon Raymond,Pourquoi les intellectuels n'aiment pas le libéralisme,Odile Jacob,inconnu,SDX Joint Publishers co,2009-03-01
CHINE,Fu Lei,Bourdieu Pierre ,Méditations pascaliennes,Éd. du Seuil,inconnu,San Lian Shu Dian SDX,2009-03-01
CHINE,Fu Lei,Levis Fiona,Yves Saint-Laurent,Éd. du Rocher,inconnu,Ed. Chasse-Litte,2009-03-01
CHINE,Fu Lei,Rohmer Éric,Six contes moraux,Éd. de l'Herne,inconnu,Ed. Chasse-Litte,2009-03-01
CHINE,Fu Lei,Valéry Paul,Corona & Coronilla: poèmes à Jean Voilier,Éd. de Fallois,inconnu,Jilin Publishing Group,2009-03-01
CHINE,Fu Lei,Balthus,Correspondance amoureuse avec Antoinette de Watteville,Buchet Chastel,Autobiographies/Récits,East China Normal university Press,2010-09-01
CHINE,Fu Lei,Barthes Roland,Comment vivre ensemble,Éd. du Seuil,Documents/Essais d'actualité,China Renmin University Press,2010-03-01
CHINE,Fu Lei,Barthes Roland,Essais critiques,Éd. du Seuil,Documents/Essais d'actualité,China Renmin University Press,2010-03-01
CHINE,Fu Lei,Barthes Roland,La Chambre claire.Note sur la photographie ,Éd. du Seuil,Documents/Essais d'actualité,China Renmin University Press,2010-03-01
CHINE,Fu Lei,Barthes Roland,La préparation du roman I et II,Éd. du Seuil,Documents/Essais d'actualité,China Renmin University Press,2010-03-01
CHINE,Fu Lei,Beauvoir Simone (de),Le deuxième sexe,Gallimard,œuvres littéraires classiques,Shanghai Translation Publishing House,2010-03-01
CHINE,Fu Lei,Beauvoir Simone (de),Les Mandarins,Gallimard,œuvres littéraires classiques,Shanghai Translation Publishing House,2010-03-01
CHINE,Fu Lei,Boule Pierre,Le pont de la rivière Kwai,Robert Laffont//Julliard,œuvres littéraires classiques,Shanghai Translation Publishing House,2010-03-01
CHINE,Fu Lei,Butor Michel,La Modification,Éd. de Minuit,œuvres littéraires contemporaines,Shanghai Translation Publishing House,2010-03-01
CHINE,Fu Lei,Cazeneuve Jean,10 grandes notions de sociologie,Éd. du Seuil,Universitaire/Enseignement supérieur,Shanghai People's Publishing House,2010-09-01
CHINE,Fu Lei,Chartier Roger,Culture écrite et soci'06. l'ordre des livres,Albin Michel,Universitaire/Enseignement supérieur,The Commercial press,2010-09-01
CHINE,Fu Lei,Dedieu Thierry,Les sciences naturelles de Tatsu Nagata(10 titres),Éd. du Seuil jeunesse,Jeunesse,Shanghai Translation Publishing House,2010-03-01
CHINE,Fu Lei,Duras Marguerite,Emily L.,Éd. de Minuit,œuvres littéraires contemporaines,Shanghai Translation Publishing House,2010-03-01
CHINE,Fu Lei,Duras Marguerite,L'Amante anglaise,Gallimard,œuvres littéraires contemporaines,Shanghai Translation Publishing House,2010-03-01
CHINE,Fu Lei,Foucault Michel,Histoire de la sexualité,Gallimard,Universitaire/Enseignement supérieur,Shanghai People's Publishing House,2010-09-01
CHINE,Fu Lei,Foucault Michel,Il faut défendre la soci'06,Éd. du Seuil,Universitaire/Enseignement supérieur,Shanghai People's Publishing House,2010-09-01
CHINE,Fu Lei,Foucault Michel,L'Herméneutique du sujet,Éd. du Seuil,Universitaire/Enseignement supérieur,Shanghai People's Publishing House,2010-09-01
CHINE,Fu Lei,Foucault Michel,Les Anormaux,Éd. du Seuil,Universitaire/Enseignement supérieur,Shanghai People's Publishing House,2010-09-01
CHINE,Fu Lei,Le Goff Jacques,Histoire et mémoire,Gallimard,Documents/Essais d'actualité,China Renmin University Press,2010-03-01
CHINE,Fu Lei,Le Goff Jacques,L'Europe expliquée aux jeunes,Éd. du Seuil,Jeunesse,Chongqing Univeristy Press,2010-09-01
CHINE,Fu Lei,Le Goff Jacqueset Schlegel Jean-Louis,Le Moyen Âge expliqué aux enfants,Éd. du Seuil,Jeunesse,Chongqing Univeristy Press,2010-09-01
CHINE,Fu Lei,Lebeaume Joël et Clément,Comprendre comment ça marche,Nathan,OK,Beijing Science and technology Press,2010-09-01
CHINE,Fu Lei,Malson Lucien,Les maîtres du jazz,Buchet Chastel,Universitaire/Enseignement supérieur,Chu Chen Books,2010-09-01
CHINE,Fu Lei,Martin Henri-Jean ,Histoire et pouvoirs de l'écrit,Perrin,Universitaire/Enseignement supérieur,The Commercial press,2010-09-01
CHINE,Fu Lei,Nouvian Claire,Abysses,Librairie Arthème Fayard,Beaux livres,China Science and technology Press,2010-03-01
CHINE,Fu Lei,Santini Bertrand et Gatignol Bertrand,Comment j'ai raté ma vie,Autrement,Autobiographies/Récits,SDX Publishing Co,2010-09-01
CHINE,Fu Lei,Collectif,Mille ans de contes (5 titres),Milan,Jeunesse,Beijing Science and technology Press,2010-03-01
CHINE,Fu Lei,Almeras Arnaud ,Cet '06 là,Sarbacane,Jeunesse,SDX Publishing Co,2011-03-01
CHINE,Fu Lei,Attali Jacques,Karl Marx ou l'esprit du monde,Librairie Arthème Fayard,Politique/Géopolitique,Shanghai People's Publishing House,2011-09-01
CHINE,Fu Lei,Barthes Roland,S/Z,Éd. du Seuil,Sciences Hu'05nes et Sociales,Shanghai People's Publishing House,2011-09-01
CHINE,Fu Lei,Barthes Roland,Carnets de voyage en Chine,Christian Bourgois,Anthropologie/Sociologie,Renmin University Press,2011-03-01
CHINE,Fu Lei,Beauvoir Simone (de),Pour une morale de l'ambiguité,Gallimard,Fiction,Shanghai Translation Publishing House,2011-03-01
CHINE,Fu Lei,Château Dominique ,Esthétique du cinéma,Armand Colin,Sciences Hu'05nes et Sociales,China Film Press,2011-09-01
CHINE,Fu Lei,Claudel Philippe,Le Rapport de Brodeck,Stock,Littérature,Shanghai Translation Publishing House,2011-03-01
CHINE,Fu Lei,Collectif,100 000 ans de beauté,Gallimard,Histoire/Géographie/Archéologie,Citic Press,2011-03-01
CHINE,Fu Lei,Cornaert Jean-Jacques,L'Avenir de l'automobile,Armand Colin,Sciences et Techniques,China Environmental Press,2011-03-01
CHINE,Fu Lei,Ferry Luc,Le nouvel ordre écologique,Grasset & Fasquelle,Sciences et Techniques,The Commercial press,2011-03-01
CHINE,Fu Lei,Foucault Michel,Le Courage de la vérité,Éd. du Seuil,Sciences Hu'05nes et Sociales,Shanghai People's Publishing House,2011-09-01
CHINE,Fu Lei,Foucault Michel,Leçon sur la volonté de savoir,Éd. du Seuil,Sciences Hu'05nes et Sociales,Shanghai People's Publishing House,2011-09-01
CHINE,Fu Lei,Gardies René ,Comprendre le cinéma et les images,Armand Colin,Sciences Hu'05nes et Sociales,China Film Press,2011-09-01
CHINE,Fu Lei,Gary Ro'05n,Gros câlin,Mercure de France,Littérature,Alpha Books,2011-09-01
CHINE,Fu Lei,Grevet Yves ,Méto T. II: L'île,Syros Jeunesse,Jeunesse,Beijing Yutian Hanfeng Books,2011-09-01
CHINE,Fu Lei,Houellebecq Michel,La Carte et le territoire,Flammarion,Littérature,Shanghai 99 Culture Reading,2011-03-01
CHINE,Fu Lei,Jeancolas Jean-Pierre ,Histoire du cinéma français,Armand Colin,Sciences Hu'05nes et Sociales,China Film Press,2011-09-01
CHINE,Fu Lei,Kahane Jean-Pierre ,Ensembles parfaits et séries trigonométriques,Hermann,Sciences et Techniques,Higher Education Press Limited company,2011-03-01
CHINE,Fu Lei,Le Clézio J.-M. G.,Le livre des fuites,Gallimard,Fiction,Shanghai Translation Publishing House,2011-03-01
CHINE,Fu Lei,Le Goff Jacques,Apologie pour l'histoire ou le métier d'historien,Armand Colin,Histoire/Géographie/Archéologie,Renmin University Press,2011-03-01
CHINE,Fu Lei,Lepenies Wolf ,Qu'est ce qu'un intellectuel européen?,Éd. du Seuil,Anthropologie/Sociologie,Guangxi Normal University Press,2011-03-01
CHINE,Fu Lei,Lévi-Strauss Claude,Saudades do Brasil,Plon,Anthropologie/Sociologie,Renmin University Press,2011-03-01
CHINE,Fu Lei,Marie Michel ,La Nouvelle Vague,Armand Colin,Sciences Hu'05nes et Sociales,China Film Press,2011-09-01
CHINE,Fu Lei,Marrou Henri-Irénée ,Histoire de l'éducation dans l'Antiquité,Éd. du Seuil,Sciences Hu'05nes et Sociales,East China Normal university Press,2011-09-01
CHINE,Fu Lei,Ricœur Paul,Du texte à l'action,Éd. du Seuil,Sciences Hu'05nes et Sociales,East China Normal university Press,2011-09-01
CHINE,Fu Lei,Roux Alain,Le singe et le tigre,Larousse,--> Autobiographie/Biographie/Correspondance/Journal,Renmin University Press,2011-03-01
CHINE,Fu Lei,Bessière Jean ,Le Roman contemporain ou la problématicité du monde,PUF,inconnu,PEKING UNIVERSITY PRESS,2012-03-01
CHINE,Fu Lei,Bessière Jean ,Principe de la théorie Littéraire,PUF,inconnu,Jinan University Press,2012-03-01
CHINE,Fu Lei,Bloch Serge,L'École de Léon,Albin Michel,inconnu,Beijing Science and technology Press,2012-09-01
CHINE,Fu Lei,Borel Vincent ,Antoine et Isabelle,Sabine Wespieser,Littérature,Nanjing Yanziyue Culture & Art Studio,2012-03-01
CHINE,Fu Lei,Borel Vincent ,Baptiste ,Sabine Wespieser,Littérature,Nanjing Yanziyue Culture & Art Studio,2012-03-01
CHINE,Fu Lei,Camus Catherine,Albert Camus  solitaire et solidaire,Michel Lafon,inconnu,Yilin Press,2012-03-01
CHINE,Fu Lei,Diglee ,Autobiographie d'une fille gaga,Hachette Livre//Marabout,inconnu,Buclas CommunicationCulture Co. Ltd,2012-03-01
CHINE,Fu Lei,Faye Eric,Nagasaki,Stock,Littérature,Shanghai Translation Publishing House,2012-03-01
CHINE,Fu Lei,Ferry Luc,Philosophie politique,PUF,Essais/documents,Shanghai SanhuiCulture and Press Ltd,2012-09-01
CHINE,Fu Lei,Finkeilkraut Alain,Un cœur intelligent,Stock,inconnu,Yilin Press,2012-03-01
CHINE,Fu Lei,Gavalda Anna ,Ensemble; c'est tout,Le Dilettante,Littérature,Yilin Press,2012-03-01
CHINE,Fu Lei,Grémillon Hélène ,Le Confident,Plon-Perrin,inconnu,Yilin Press,2012-03-01
CHINE,Fu Lei,Hagège Claude,Contre la pensée unique,Odile Jacob,Sciences et Techniques,Beijing Yanziyue Culture & Art Studio ,2012-09-01
CHINE,Fu Lei,Ionesco Eugène ,Théâtre complet,Gallimard,inconnu,Shanghai Translation Publishing House,2012-03-01
CHINE,Fu Lei,Jiang Hong Chen ,Dragon de feu,L'École des loisirs,Jeunesse,Beijing Science and technology Press,2012-03-01
CHINE,Fu Lei,Jiang Hong Chen ,Petit Aigle,L'École des loisirs,Jeunesse,Beijing Science and technology Press,2012-03-01
CHINE,Fu Lei,Lacoue-Labarthe Philippe et Nancy Jean-Luc ,L'Absolu Littéraire,Éd. du Seuil,inconnu,Yilin Press,2012-03-01
CHINE,Fu Lei,Lefèvre Didier ,Le Photographe ,Mediatoon//Dupuis,BD,Buclas CommunicationCulture Co. Ltd,2012-03-01
CHINE,Fu Lei,Motin Margaux ,J'aurais adoré être éthnologue,Hachette Livre//Marabout,inconnu,Buclas CommunicationCulture Co. Ltd,2012-03-01
CHINE,Fu Lei,Pigot Pierre,L'Assassinat de Mickey Mouse,PUF,Essais/documents,Shanghai People's Publishing House,2012-01-01
CHINE,Fu Lei,Prédal René ,Esthétique de la mise en scène,Éd. du Cerf,inconnu,Nanjing Yanziyue Culture & Art Studio,2012-03-01
CHINE,Fu Lei,Rancière Jacques,Le Partage du sensible,La Fabrique,inconnu,Beijing Yanziyue Culture & Art Studio ,2012-03-01
CHINE,Fu Lei,Rancière Jacques,Le Spectateur émancipé,La Fabrique,inconnu,Beijing Yanziyue Culture & Art Studio ,2012-03-01
CHINE,Fu Lei,Rancière Jacques,Les Écarts du cinéma,La Fabrique,inconnu,Beijing Yanziyue Culture & Art Studio ,2012-03-01
CHINE,Fu Lei,Todorov Tzvetan,Le Jardin imparfait,Grasset & Fasquelle,Sciences et Techniques,PEKING UNIVERSITY PRESS,2012-09-01
CHINE,Fu Lei,Todorov Tzvetan,Nous et les autres,Éd. du Seuil,Fiction,PEKING UNIVERSITY PRESS,2012-09-01
CHINE,Fu Lei,Werli Patrick ,Roberto Rossellini; une poétique de la conversion,Éd. du Cerf,inconnu,Nanjing Yanziyue Culture & Art Studio,2012-03-01
CHINE,Fu Lei,Andrieux Richard ,José,Héloïse d'Ormesson,Littérature,Yilin Press,2013-02-01
CHINE,Fu Lei,Aron Raymond ,Mémoires,Robert Laffont/Divas international,inconnu,Social Sciences Academic Press,2013-02-01
CHINE,Fu Lei,Azoulay Vincent ,Périclès: La démocratie athénienneà l'épreuve du grand homme,Armand Colin,SHS,Shanghai JointPublishing Company,2013-06-01
CHINE,Fu Lei,Bach Jean-François;Tisseron Serge; Houdé Olivieret Léna Pierre,L'Enfant et les écrans,Le Pommier,SHS,China Machine Press,2013-06-01
CHINE,Fu Lei,Baecque Antoine (de)et Chevalier Philippe,Dictionnaire de la pensée du cinéma,PUF,Dictionnaires/Encyclopédies,Beijing Yanziyue Culture & Art Studio ,2013-06-01
CHINE,Fu Lei,Bouvier Nicolas,L'Usage du Monde,La Découverte,Littérature,SDX Joint Publishers co,2013-06-01
CHINE,Fu Lei,Braudel Fernand,L'identité de la France,Flammarion,SHS,Social Sciences Academic Press,2013-06-01
CHINE,Fu Lei,Braudel Fernand,Civilisation matérielle; économie et capitalismeXVe-XVIIIe siècles,Armand Colin,inconnu,Social Sciences Academic Press,2013-02-01
CHINE,Fu Lei,Cohen Albert ,Belle du seigneur,Gallimard,inconnu,Yilin Press,2013-02-01
CHINE,Fu Lei,Collectif,Gouttes; bulles; perles et ondes,Belin,inconnu,Higher Education Press Limited company,2013-02-01
CHINE,Fu Lei,Collectif,Lire les images du cinéma,Larousse,inconnu,China Film Press,2013-02-01
CHINE,Fu Lei,Dars Jean-François et Papillault Anne ,Le Plus Grand des hasards,Belin,inconnu,Higher Education Press Limited company,2013-02-01
CHINE,Fu Lei,Eliade Mircea,Images et symboles,Gallimard,SHS,Yilin Press,2013-06-01
CHINE,Fu Lei,Hadot Pierre,Études de philosophie ancienne,Les Belles Lettres,SHS,East China NomalUniversity Press,2013-06-01
CHINE,Fu Lei,Jean-Michel Billioud,Dokéo; comprendre comment ça marche... le monde où je vis,Nathan,Jeunesse,Beijing Science and technology Press,2013-06-01
CHINE,Fu Lei,Jenni Alexis ,L'Art français de la guerre,Gallimard,inconnu,Yilin Press,2013-02-01
CHINE,Fu Lei,Lejeune Philippe,L'Autobiographie en France,Armand Colin,Littérature,PEKING UNIVERSITY PRESS,2013-06-01
CHINE,Fu Lei,Lejeune Philippe,Le Pacte autobiographique,Éd. du Seuil,Littérature,PEKING UNIVERSITY PRESS,2013-06-01
CHINE,Fu Lei,Onfray Michel,La Raison gourmande,Grasset & Fasquelle,inconnu,Shanghai People's Publishing House,2013-02-01
CHINE,Fu Lei,Rouillé d’Orfeuil Henri ,La Diplomatie non-gouvernementale,Éd. de l'Atelier/Éd. ouvrières,inconnu,Sunchime audio & vidéo Publishing House Corp.,2013-02-01
CHINE,Fu Lei,Rouvillois Frédéric ,Histoire de la politesse,Flammarion,inconnu,Shanghai Wenyi,2013-02-01
CHINE,Fu Lei,Starobinski Jean ,Jean-Jacques Rousseau : La transparence et l’obstacle,Gallimard,inconnu,East China Normal university Press,2013-02-01
CHINE,Fu Lei,Verchier Yann et Gerber Nicolas,Vous avez dit chimie?,Dunod,Art de vivre,China Machine Press,2013-06-01
coédrégionale Amérique latine,Jules Supervielle (PRAC),Massiah Gustave,Une stratégie altermondialiste,La Découverte,Arts,Trilce (Uruguay); Lom ediciones (Santiago de Chile)Capital Intelectual/Le Monde diplÛ (Buenos Aires),2011-03-01
coédrégionale Amérique latine,Jules Supervielle (PRAC),Malabou Catherine ,L’Avenir de Hegel.Plasticité; temporalité; dialectique,Vrin,inconnu,Ediciones La Cebra(Argentine),2012-03-01
coédrégionale Amérique latine,Jules Supervielle (PRAC),Mesnil-Amar Jacqueline ,Ceux qui ne dor'05ent pas,Stock,inconnu,LOM(Chili),2012-03-01
coédrégionale Amérique latine,Jules Supervielle (PRAC),Autin-Grenier Pierre,Je ne suis pas un héros,Gallimard,Littérature,Dedalus,2013-06-01
coédrégionale Amérique latine,Jules Supervielle (PRAC),Badiou Alain,L'Aventure de la philosophie française,La Fabrique,inconnu,Eterna Cadencia/LOM ,2013-02-01
coédrégionale Amérique latine,Jules Supervielle (PRAC),Chamayou Grégoire ,Les Chasses à l'homme,La Fabrique,inconnu,LOM/Trilce/ Marea ,2013-02-01
coédrégionale Amérique latine,Jules Supervielle (PRAC),Gary Ro'05n,Pseudo,Mercure de France,Littérature,Cuneta/Estruendomudo/Eterna Cadencia ,2013-02-01
coédrégionale Amérique latine,Jules Supervielle (PRAC),Maffesoli Michel,Homos Eroticus.Des communions émotionelles,CNRS éditions,SHS,Dedalus,2013-06-01
COLOMBIE,Norma,Attali Jacques,L'Homme nomade,Librairie Arthème Fayard,inconnu,Luna Libros,2008-01-01
CORÉE DU SUD,Sejong,Badiou Alainet Cassin Barbara,Heidegger: Le nazisme; les femmes; la philosophie Il n'y a pas de rapport sexuel:Deux leçons sur L'Étourdit de Lacan,Librairie Arthème Fayard,OK,Ghil,2010-09-01
CORÉE DU SUD,Sejong,Beauvoir Simone (de),Tous les hommes sont mortels,Gallimard,Fiction,Samin books,2011-03-01
CORÉE DU SUD,Sejong,Jonquet Thierry,Mygale,Gallimard,Fiction,Maumsanchaek,2011-03-01
CORÉE DU SUD,Sejong,Barthes Roland,La préparation du roman I et II,Éd. du Seuil,inconnu,Minumsa,2012-03-01
CORÉE DU SUD,Sejong,Battut Éric ,Oh! La belle lune,Didier Jeunesse//Rageot,Jeunesse,Yolimwon,2012-03-01
CORÉE DU SUD,Sejong,Gary Ro'05n,Au-delà de cette limitevotre ticket n'est plus valable,Gallimard,Littérature,Maumsanchaek,2012-03-01
CORÉE DU SUD,Sejong,Gary Ro'05n,Chien blanc,Gallimard,Littérature,Maumsanchaek,2012-03-01
CORÉE DU SUD,Sejong,Guibert Emmanuel,La Guerre d'Alan,L'Association,BD,Humanist,2012-09-01
CORÉE DU SUD,Sejong,Ichikawa Satomi,Les Voitures de Jibril,L'École des loisirs,Jeunesse,Yolimwon,2012-09-01
CORÉE DU SUD,Sejong,Latouche Serge,Petit traité de la décroissance sereine,Librairie Arthème Fayard,inconnu,Minumsa,2012-03-01
CORÉE DU SUD,Sejong,Latouche Serge,Survivre au développement,Librairie Arthème Fayard,inconnu,Minumsa,2012-03-01
CORÉE DU SUD,Sejong,Reeves Hubert,Petite histoire de la matière,Le Pommier,Jeunesse,Yolimwon,2012-09-01
CORÉE DU SUD,Sejong,Sartre Jean-Paul,Huis clos Le Diable et le Bon Dieu,Gallimard,inconnu,Minumsa,2012-03-01
CORÉE DU SUD,Sejong,Schmitt Éric-Emmanuel,Quand je pense que Beethoven est mortalors que tant de cretins vivent,Albin Michel,Littérature,Yolimwon,2012-03-01
CORÉE DU SUD,Sejong,Aviau Jérôme (d'); Capucine et Sibylline ,Le Trop Grand Vide d'Alphonse Tabouret,Ankama,inconnu,ESOOP,2013-02-01
CORÉE DU SUD,Sejong,Cioran Emil,De l'inconvénient d'être né,Gallimard,inconnu,Chapter house,2013-02-01
CORÉE DU SUD,Sejong,Collectif,Une vie en plus.La longévité; pour quoi faire?,Éd. du Seuil,inconnu,Stairway Media,2013-02-01
CORÉE DU SUD,Sejong,Derrida Jacques,Marges de la Philosophie,Éd. de Minuit,SHS,Postcard,2013-06-01
CORÉE DU SUD,Sejong,Gary Ro'05n,Adieu Gary Cooper,Gallimard,Littérature,Maumsanchaek,2013-06-01
CORÉE DU SUD,Sejong,Gary Ro'05n,Clair de femme,Gallimard,Littérature,Maumsanchaek,2013-02-01
CORÉE DU SUD,Sejong,Gary Ro'05n,Les Cerfs-volants,Gallimard,Littérature,Maumsanchaek,2013-02-01
CORÉE DU SUD,Sejong,Hébert Anne ,Poèmes,Éd. du Seuil,inconnu,ZMANZ,2013-02-01
CORÉE DU SUD,Sejong,Jankéliowitch Anne etArthus-Bertrand Yann ,Ces enfants qui changent le monde,La Martinière,inconnu,Blue Bicycle,2013-02-01
CORÉE DU SUD,Sejong,Mathieu Marc-Antoine ,,Gallimard,inconnu,Fuid Free Fly,2013-02-01
RUSSIE,Pouchkine,Sigman Carole,Clubs politiques et perestroïka en Russie.Subversion sans dissidence,Karthala,inconnu,NLO,2012-03-01
RUSSIE,Pouchkine,Tardieu Jean ,Cinq divertissements,Gallimard,inconnu,Kommentarii,2012-03-01
RUSSIE,Pouchkine,Trouillot Lyonel,Les Enfants des héros ,Actes Sud,Littérature,Eterna,2012-03-01
RUSSIE,Pouchkine,Barbe-Gall Françoise,Comment parler de l’artdu XXe siècle aux enfants,Le Baron Perché/Le Monde en marche,Jeunesse,Arca Publishers,2013-06-01
RUSSIE,Pouchkine,Bernanos Georges,La Liberté pour quoi faire?,Gallimard,inconnu,Ivan Limbakh,2013-02-01
RUSSIE,Pouchkine,Braudel Fernand,Écrits sur l'histoirevol. 1 et 2,Flammarion,inconnu,Akademitcheski prœkt,2013-02-01
RUSSIE,Pouchkine,Bruckner Pascal,La '05son des anges,Grasset & Fasquelle,Littérature,Ivan Limbakh,2013-06-01
RUSSIE,Pouchkine,de Baecque Antoine,La nouvelle vague; portrait d'une jeunesse,Flammarion,Arts,Rosebud,2013-06-01
RUSSIE,Pouchkine,Didi-Huberman Georges,Devant l’image: Questions poséesaux fins d’une histoire de l’art,Éd. de Minuit,Arts,Andrei Naslednikov,2013-06-01
RUSSIE,Pouchkine,Dolto Françoise et Séverin Gérard,Les Évangiles et la foi au risque de la psychanalyse ou la vie du désir,Gallimard,inconnu,Gnosis,2013-02-01
RUSSIE,Pouchkine,Dugain Marc,Avenue des géants,Gallimard,Littérature,BMM,2013-06-01
RUSSIE,Pouchkine,Echenoz Jean,14>> DROITS,Éd. de Minuit,Littérature,Ivan Limbakh,2013-06-01
RUSSIE,Pouchkine,Gaborit Mathieu ,Les royaumes crépusculaires et Abyme,Mnemos,inconnu,BMM,2013-02-01
RUSSIE,Pouchkine,Gay Michel,Zou (5 titres),L'École des loisirs,Jeunesse,Melik-Pachaev,2013-02-01
RUSSIE,Pouchkine,Gonneau Pierre; Lavrov Aleksandr,Des Rhôs à la Russie. Histoire de l'Europe orientale (v. 730-1689),PUF,inconnu,Eurasia,2013-02-01
RUSSIE,Pouchkine,Kerroumi Bachir ,Le Voile rouge,Gallimard,inconnu,Eterna,2013-02-01
RUSSIE,Pouchkine,Kristeva Julia ,Étrangers à nous-mêmes,Librairie Arthème Fayard,inconnu,Progress Traditsia,2013-02-01
RUSSIE,Pouchkine,Lévi-Strauss Claude,L'Anthropologie face aux problemes du monde moderne,Éd. du Seuil,inconnu,Text,2013-02-01
RUSSIE,Pouchkine,Nasio Juan-David ,Cinq leçons sur la théorie de Jacques Lacan,Payot & Rivages,inconnu,IOI,2013-02-01
RUSSIE,Pouchkine,Rouillé André ,La Photographie,Gallimard,inconnu,Moroshka,2013-02-01
RUSSIE,Pouchkine,Rouvillois Frédéric ,Une histoire des best-sellers,Flammarion,inconnu,Text,2013-02-01
SERBIE,Danilo Kis,Soulages François,Esthétique de la photographie,Armand Colin,inconnu,KULTURNI CENTAR BEOGRADA,2008-01-01
SERBIE,Danilo Kis,Badiou Alain,Manifeste pour la philosophie,Éd. du Seuil,inconnu,Skart,2009-09-01
SERBIE,Danilo Kis,Badiou Alain,Second manifeste pour la philosophie,Librairie Arthème Fayard,inconnu,Skart,2009-09-01
SERBIE,Danilo Kis,Barthes Roland,Leçon (Texte de leçon inaugurale prononcée le 7 janvier 1977 au Collège de France),Éd. du Seuil,inconnu,KARPOS,2009-09-01
SERBIE,Danilo Kis,Cyrulnik Boris ,De chair et d'âme,Odile Jacob,inconnu,Akademska knjiga,2009-09-01
SERBIE,Danilo Kis,Duby Georges,La soci'06 au XI et XII siècles dans la région mâconnaise,Éd. de l'EHESS,inconnu,Izdavacka knjizarnica Zorana Stojanovica,2009-09-01
SERBIE,Danilo Kis,Énard Mathias,Zone,Actes Sud,Littérature,Stylos Art,2009-09-01
