"pays","nom pap","auteur","titre","editeur","type","editeur trad"
"ALBANIE","FAN NOLI","NOËL BERNARD","Matisse","Auteur","Lettres","Lilo","1990-01-01"
"ALBANIE","FAN NOLI","NOURISSIER FRANÇOIS","En avant, calme et droit","Grasset","Lettres","Medaur","1990-01-01"
"ALBANIE","FAN NOLI","PENDANX MICHÈLE","Les Activités d’apprentissage en classe de langue","Hachette","Sciences et Techniques","Shb Logos","1990-01-01"
"ALBANIE","FAN NOLI","PENNAC DANIEL","Messieurs les enfants","Gallimard","Lettres","Besa","1990-01-01"
"ALBANIE","FAN NOLI","PIEYRE DE MANDIARGUES ANDRÉ","Le Lis de mer","Gallimard","Lettres","Dituria","1990-01-01"
"ALBANIE","FAN NOLI","RADIGUET RAYMOND","Le Diable au corps","","Lettres","Albin","1990-01-01"
"ALBANIE","FAN NOLI","RICHET XAVIER","L’Économie de l’entreprise","Hachette","Sciences Sociales et Humaines","Toena","1990-01-01"
"ALBANIE","FAN NOLI","SAINT-EXUPÉRY ANTOINE (DE)","Terre des hommes","Gallimard","Lettres","Albin","1990-01-01"
"ALBANIE","FAN NOLI","SAINT-JOHN PERSE","Choix de poèmes","Gallimard","Lettres","Aferdita","1990-01-01"
"ALBANIE","FAN NOLI","SARRAUTE NATHALIE","Le Planétarium","Gallimard","Lettres","Elena Gjika","1990-01-01"
"ALBANIE","FAN NOLI","SARTRE JEAN-PAUL","Huis clos","Gallimard","Lettres","Fan Noli","1990-01-01"
"ALBANIE","FAN NOLI","SARTRE JEAN-PAUL","Qu’est-ce que la littérature ?","Gallimard","Lettres","Dea","1990-01-01"
"ALBANIE","FAN NOLI","SHIJAKU EQREM","Dictionnaire phraséologique français-albanais","","Lettres","Dituria","1990-01-01"
"ALBANIE","FAN NOLI","TOURNIER MICHEL","Le Médianoche amoureux","Gallimard","Lettres","Dituria","1990-01-01"
"ALBANIE","FAN NOLI","TOURNIER MICHEL","Vendredi ou la Vie sauvage","Gallimard","Lettres","Fan Noli","1990-01-01"
"ALBANIE","FAN NOLI","VALÉRY PAUL","Monsieur Teste","Gallimard","Lettres","Odeon Publishers","1990-01-01"
"ALBANIE","FAN NOLI","XENAKIS IANNIS","Kéleütha et autres écrits","L’Arche","Arts","Shtepia Botuese Enciklopedike","1990-01-01"
"ALBANIE","FAN NOLI","YOURCENAR MARGUERITE","Anna, Soror…","Gallimard","Lettres","MCM","1990-01-01"
"ALBANIE","FAN NOLI","YOURCENAR MARGUERITE","Les Mémoires d’Hadrien","Gallimard","Lettres","MCM","1990-01-01"
"ALBANIE","FAN NOLI","YOURCENAR MARGUERITE","Nouvelles orientales","Gallimard","Lettres","Dituria","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Algérie 1830-1962","Revue des deux mondes","Sciences Sociales et Humaines","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Algérie : quelles perspectives ?","Recherches internationales","Sciences Sociales et Humaines","Marinoor","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Analyse prévisionnelle","Atol","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Dictionnaire du français en 60 000 mots","Hachette","Lettres","Enap","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Dictionnaire Hachette Junior","Hachette","Jeunesse","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","COLLECTIF","Évaluation des entreprises","Atol","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","ACCOCE PIERRE & RENTCHNICK PIERRE","Ces malades qui nous gouvernent","Stock","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","ADDA JACQUES","La Mondialisation de l’économie","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","AGERON CHARLES-ROBERT","Histoire de l’Algérie contemporaine","PUF","Sciences Sociales et Humaines","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","AMAR NADINE, COUVREUR CATHERINE & HANUS MICHEL","Le Deuil","PUF","Sciences Sociales et Humaines","SARP","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","AMIN HUSSEIN","Le Livre du musulman désemparé","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","AMMI KEBIR","Thagaste","L’Aube","Lettres","Marsa","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","ARNSPERGER CHRISTIAN & VAN PARIJS PHILIPPE","Éthique économique et sociale","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","ASSIMA FÉRIEL","Rhoulem, ou le sexe des anges","Arléa","Lettres","Marsa","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","AUBERT FRANÇOIS & GUITTARD PHILIPPE","L’Essentiel médical de poche","Ellipses","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","AUBERT NICOLE","Diriger et Motiver","Éd d’Organisation","Sciences et Techniques","Chihab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","AUDIGIER GUY","Marketing et actions commerciales","EJA","Sciences et Techniques","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","AUJARD YANNICK, BOURILLON ANTOINE & GAUDELUS JOËL","Pédiatrie","Ellipses","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","AVRIL JEAN-LOUP, DABERNAT HENRY, DENIS FRANÇOIS & MONTEIL HENRI","Bactériologie clinique","Ellipses","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BANOUN ÉRIC","Aide-Mémoire d’urgences médicales","Ellipses","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BARUK HENRI","L’Hypnose","PUF","Sciences et Techniques","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BAYOT DOMINIQUE","Schémas de consultation en gynécologie","Ellipses","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BEAUD MICHEL","L’Art de la thèse","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BÉNAC HENRI","Dictionnaire de synonymes","Hachette","Lettres","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BÉNAC HENRI & BURNEY PIERRE","Guide de conjugaison","Hachette","Lettres","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BENHAMOU FRANÇOISE","L’Économie de la culture","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BENMALEK ANOUAR","Les Amants désunis","Calmann-Lévy","Lettres","Marsa","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BERGERET JEAN","Toxicomanie et Personnalité","PUF","Sciences Sociales et Humaines","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BERQUE JACQUES","Musiques sur le fleuve","Albin Michel","Lettres","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BERTHÉLÉMY JEAN-CLAUDE","L’Endettement du tiers monde","PUF","Sciences Sociales et Humaines","Afaq","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BETTATI MARIO","Le Nouvel Ordre économique international","PUF","Sciences Sociales et Humaines","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BLANQUET PAUL & BLANC DANIEL","La Médecine nucléaire","PUF","Sciences et Techniques","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BLASSELLE BRUNO","La Bibliothèque nationale","PUF","Sciences Sociales et Humaines","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BLED ÉDOUARD","Cours d’orthographe élémentaire","Hachette","Lettres","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BLED ÉDOUARD & BLED ODETTE","Cours d’orthographe, cours élémentaire, cours moyen","Hachette","Lettres","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BLED ÉDOUARD, BLED ODETTE & BÉNAC HENRI","Guide d’orthographe","Hachette","Lettres","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BOIA LUCIAN","La Fin du monde","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BONNECHÈRE MICHÈLE","Introduction au droit","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BONNET GÉRARD","Le Remords","PUF","Sciences Sociales et Humaines","SARP","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BONNET HENRI & BERTHET DOMINIQUE","Les Institutions financières internationales","PUF","Sciences Sociales et Humaines","Bouchène","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BOUGNOUX DANIEL","Introduction aux sciences de la communication","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BOUQUIN HENRI","La Comptabilité de gestion","PUF","Sciences et Techniques","Afaq","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BOURDE CHRISTIAN","Les Maladies de la circulation sanguine","PUF","Sciences et Techniques","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BOURDIEU PIERRE","Sociologie de l’Algérie","PUF","Sciences Sociales et Humaines","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BOYER ANDRÉ, HYRIGOYEN GÉRARD & THEPOT JACQUES","Panorama de la gestion","Éd d’Organisation","Sciences et Techniques","Chihab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BRAUD PHILIPPE","Sociologie politique","EJA","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BRETON PHILIPPE","L’Argumentation dans la communication","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BRETON PHILIPPE","Le Culte de l’internet","La Découverte","Sciences et Techniques","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BRETON PHILIPPE","L’Utopie de la communication","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BRETON PHILIPPE & PROULX SERGE","L’Explosion de la communication","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BRETON PIERRE-HUBERT & SCHOR ARMAND-DENIS","La Dévaluation","PUF","Sciences Sociales et Humaines","Bouchène","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BRETON ROLAND","Géographie des civilisations","PUF","Sciences Sociales et Humaines","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BUCAILLE MAURICE","La Bible, le Coran et la Science","Robert Laffont","Sciences Sociales et Humaines","Maison des livres","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","BURLAUD ALAIN & SIMON CLAUDE","Le Contrôle de gestion","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CACOUAULT MARLAINE & ŒUVRARD FRANÇOISE","Sociologie de l’éducation","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CAGLAR HUGUETTE","La Psychologie scolaire","PUF","Sciences Sociales et Humaines","Afaq","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CALLON MICHEL & COURTIAL JEAN-PIERRE","La Scientométrie","PUF","Sciences et Techniques","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CALVET LOUIS-JEAN","La Sociolinguistique","PUF","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CAMPELL ROBERT","La Trigonométrie","PUF","Sciences et Techniques","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CASSEYRE JEAN-PIERRE & GAILLARD CATHERINE","Les Bibliothèques universitaires","PUF","Sciences Sociales et Humaines","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CATHALA HENRI-PIERRE","Explorations fonctionnelles du système nerveux","Ellipses","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CHARBY JACQUES","Les Porteurs d’espoir","La Découverte","Sciences Sociales et Humaines","Chihab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CHAREF ABED","Au nom du fils","L’Aube","Lettres","Marsa","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CHARFI MOHAMED","Islam et Liberté. Le malentendu historique","Albin Michel","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CHASSARD-BOUCHAUD COLETTE","Environnement et Radioactivité","PUF","Sciences et Techniques","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CHAST MICHEL","Les Douleurs","Albin Michel","Sciences et Techniques","Dahlab","1990-01-01"
